0.0000	3.67532	2.4564	1
0.0007	10.0857	-0.592925	0	
0.0013	13.4477	-5.16692	0	
0.0020	8.88913	-5.16692	0	
0.0027	8.88913	-4.25212	0	
0.0033	10.0857	-2.72746	0	
0.0040	1.8519	-3.33732	0	
0.0047	-5.78364	-6.38665	0	
0.0053	-5.15684	-5.47185	0	
0.0060	-3.33343	-2.11759	0	
0.0067	-2.10832	-3.33732	0	
0.0073	-1.79492	-4.86199	0	
0.0080	-4.55853	-2.42252	0	
0.0087	-5.47024	-1.20279	0	
0.0093	-4.55853	-2.72746	0	
0.0100	-7.60705	-4.25212	0	
0.0107	-10.969	-4.86199	0	
0.0113	-8.20535	-4.25212	0	
0.0120	-5.78364	-2.42252	0	
0.0127	-6.38194	-2.72746	0	
0.0133	-5.47024	-1.50772	0	
0.0140	-2.10832	0.931739	0	
0.0147	0.0284908	-0.287992	0	
0.0153	0.0284908	0.321874	0	
0.0160	0.626798	2.15147	0	
0.0167	2.76361	-0.592925	0	
0.0173	3.98871	-2.72746	0	
0.0180	1.8519	-0.287992	0	
0.0187	3.07701	0.321874	0	
0.0193	7.66403	-0.897858	0	
0.0200	8.88913	-0.897858	0	
0.0207	8.57574	-1.50772	0	
0.0213	11.9377	-3.03239	0	
0.0220	14.6728	-1.50772	0	
0.0227	15.5845	1.84654	0	
0.0233	16.2113	3.06627	0	
0.0240	11.9377	2.76134	0	
0.0247	5.52722	1.23667	0	
0.0253	3.07701	-0.287992	0	
0.0260	1.8519	1.23667	0	
0.0267	1.8519	4.89587	0	
0.0273	3.67532	4.89587	0	
0.0280	4.61551	1.54161	0	
0.0287	5.21382	1.23667	0	
0.0293	8.26234	3.98107	0	
0.0300	5.52722	3.67614	0	
0.0307	-2.70663	1.54161	0	
0.0313	-4.55853	3.67614	0	
0.0320	-2.70663	4.286	0	
0.0327	-7.29365	1.84654	0	
0.0333	-11.5673	2.76134	0	
0.0340	-8.83215	4.59093	0	
0.0347	-4.55853	1.54161	0	
0.0353	-2.70663	-0.287992	0	
0.0360	-2.42172	1.84654	0	
0.0367	-3.02003	1.23667	0	
0.0373	-0.883215	-0.592925	0	
0.0380	3.67532	0.931739	0	
0.0387	4.61551	1.54161	0	
0.0393	5.52722	0.0169407	0	
0.0400	11.3109	0.0169407	0	
0.0407	15.2711	0.321874	0	
0.0413	11.9377	-0.592925	0	
0.0420	6.43892	0.321874	0	
0.0427	1.8519	0.321874	0	
0.0433	-2.70663	-1.50772	0	
0.0440	-2.10832	-0.592925	0	
0.0447	0.940197	1.54161	0	
0.0453	-2.10832	-0.287992	0	
0.0460	-7.29365	0.0169407	0	
