0.0000	2.52668	-0.444431	1
0.0007	4.66834	-0.138885	0	
0.0013	7.4116	0.777754	0	
0.0020	7.4116	2.61103	0	
0.0027	6.78594	1.38885	0	
0.0033	10.7564	-1.36107	0	
0.0040	16.5558	-0.444431	0	
0.0047	17.1814	0.166661	0	
0.0053	14.4141	-0.444431	0	
0.0060	14.7269	-1.05552	0	
0.0067	14.4141	-0.444431	0	
0.0073	10.7564	1.99994	0	
0.0080	8.61478	3.22212	0	
0.0087	8.32602	-1.05552	0	
0.0093	4.66834	-4.11098	0	
0.0100	0.986609	-1.66661	0	
0.0107	1.61226	-0.749977	0	
0.0113	0.986609	-2.27771	0	
0.0120	-3.87424	-2.27771	0	
0.0127	-7.55598	-3.19435	0	
0.0133	-9.98641	-4.11098	0	
0.0140	-12.4409	-1.97216	0	
0.0147	-13.0425	-1.66661	0	
0.0153	-13.9569	-3.19435	0	
0.0160	-14.8713	-2.8888	0	
0.0167	-14.5585	-2.58325	0	
0.0173	-14.8713	-3.19435	0	
0.0180	-13.6441	-0.138885	0	
0.0187	-8.75916	2.30548	0	
0.0193	-5.41432	-0.444431	0	
0.0200	-4.81273	-4.11098	0	
0.0207	-0.216573	-2.58325	0	
0.0213	4.66834	1.38885	0	
0.0220	3.12827	2.30548	0	
0.0227	3.75393	1.69439	0	
0.0233	9.84203	3.52767	0	
0.0240	9.24043	3.22212	0	
0.0247	4.95711	-1.05552	0	
0.0253	11.0693	-4.11098	0	
0.0260	19.299	-3.49989	0	
0.0267	15.6414	-1.66661	0	
0.0273	11.0693	-0.444431	0	
0.0280	12.5853	-1.05552	0	
0.0287	8.32602	-2.27771	0	
0.0293	0.0721909	-2.27771	0	
0.0300	-0.842227	-2.58325	0	
0.0307	1.90103	-3.80544	0	
0.0313	1.29944	-2.27771	0	
0.0320	-3.58548	-1.36107	0	
0.0327	-11.5265	-3.19435	0	
0.0333	-17.3258	-2.27771	0	
0.0340	-16.7002	-0.138885	0	
0.0347	-14.5585	0.166661	0	
0.0353	-15.7857	0.777754	0	
0.0360	-16.0986	3.22212	0	
0.0367	-15.4729	4.13876	0	
0.0373	-17.3258	4.13876	0	
0.0380	-19.1547	1.38885	0	
0.0387	-14.5585	-1.36107	0	
0.0393	-10.9008	-0.444431	0	
0.0400	-10.9008	2.30548	0	
0.0407	-7.84474	2.30548	0	
0.0413	-1.13099	1.0833	0	
0.0420	1.29944	-0.138885	0	
0.0427	1.90103	-1.36107	0	
0.0433	6.49718	-1.66661	0	
0.0440	13.8125	-2.27771	0	
0.0447	17.4702	-1.66661	0	
0.0453	13.8125	0.166661	0	
0.0460	10.7564	-0.444431	0	
0.0467	15.0398	-3.19435	0	
0.0473	18.6974	-1.97216	0	
0.0480	15.6414	1.0833	0	
0.0487	9.24043	0.472208	0	
0.0493	4.35552	0.166661	0	
0.0500	3.12827	1.99994	0	
0.0507	4.04269	2.30548	0	
0.0513	0.986609	-0.444431	0	
0.0520	-4.81273	-2.8888	0	
0.0527	-6.32874	-1.97216	0	
0.0533	-7.24315	-1.36107	0	
0.0540	-10.588	-2.8888	0	
0.0547	-11.8152	-3.19435	0	
0.0553	-9.67358	-3.19435	0	
0.0560	-9.67358	-3.49989	0	
0.0567	-14.2697	-1.36107	0	
0.0573	-17.3258	1.38885	0	
0.0580	-15.1842	-0.444431	0	
0.0587	-12.4409	-1.66661	0	
0.0593	-12.4409	0.777754	0	
0.0600	-9.67358	3.22212	0	
0.0607	-4.81273	3.22212	0	
0.0613	-2.67106	2.91658	0	
0.0620	0.385018	1.0833	0	
0.0627	6.49718	-0.138885	0	
0.0633	8.61478	0.777754	0	
0.0640	6.49718	1.38885	0	
0.0647	8.32602	0.166661	0	
0.0653	14.7269	-0.749977	0	
0.0660	18.3846	-1.05552	0	
0.0667	17.4702	-0.444431	0	
0.0673	14.7269	0.166661	0	
0.0680	12.8981	-0.138885	0	
0.0687	13.8125	1.38885	0	
0.0693	12.8981	3.22212	0	
0.0700	8.01319	-0.138885	0	
0.0707	0.697845	-3.19435	0	
0.0713	-3.27265	0.472208	0	
0.0720	-3.58548	3.52767	0	
0.0727	-7.55598	1.38885	0	
0.0733	-15.7857	-0.444431	0	
0.0740	-18.8418	-0.444431	0	
0.0747	-16.0986	-1.36107	0	
0.0753	-14.2697	0.472208	0	
0.0760	-13.3553	1.38885	0	
0.0767	-13.6441	-0.138885	0	
0.0773	-15.4729	1.0833	0	
0.0780	-13.6441	2.91658	0	
0.0787	-11.5265	-0.138885	0	
0.0793	-12.4409	-1.66661	0	
0.0800	-9.98641	1.38885	0	
0.0807	-5.72714	1.69439	0	
0.0813	-6.01591	-0.749977	0	
0.0820	-2.95983	-0.138885	0	
0.0827	2.83951	1.0833	0	
0.0833	4.66834	0.166661	0	
0.0840	9.24043	0.472208	0	
0.0847	16.5558	0.472208	0	
0.0853	15.0398	-2.8888	0	
0.0860	11.0693	-4.72208	0	
0.0867	14.4141	-3.19435	0	
0.0873	15.0398	-1.36107	0	
0.0880	13.4997	0.472208	0	
0.0887	15.0398	1.69439	0	
0.0893	10.1549	1.69439	0	
0.0900	0.986609	1.99994	0	
0.0907	0.0721909	2.91658	0	
0.0913	1.90103	1.99994	0	
0.0920	-1.75665	0.472208	0	
0.0927	-6.93033	0.472208	0	
0.0933	-9.07199	0.166661	0	
0.0940	-11.2137	0.777754	0	
0.0947	-11.8152	3.52767	0	
0.0953	-12.7297	3.83321	0	
0.0960	-17.9274	2.30548	0	
0.0967	-20.0691	4.13876	0	
0.0973	-15.4729	6.58313	0	
0.0980	-12.1281	6.58313	0	
0.0987	-11.8152	6.27758	0	
0.0993	-9.07199	5.36094	0	
0.1000	-5.10149	3.52767	0	
0.1007	-0.842227	3.22212	0	
0.1013	1.29944	3.52767	0	
0.1020	0.385018	2.30548	0	
0.1027	0.986609	2.30548	0	
0.1033	7.4116	2.30548	0	
0.1040	11.9837	1.38885	0	
0.1047	11.6709	0.777754	0	
0.1053	13.8125	0.777754	0	
0.1060	17.783	1.0833	0	
0.1067	20.2135	1.69439	0	
0.1073	20.5263	1.38885	0	
0.1080	17.783	2.30548	0	
0.1087	12.8981	3.22212	0	
0.1093	9.24043	-0.138885	0	
0.1100	4.66834	-2.27771	0	
0.1107	0.385018	0.166661	0	
0.1113	0.697845	-0.444431	0	
0.1120	0.986609	-2.27771	0	
0.1127	-3.87424	-1.05552	0	
0.1133	-8.75916	-1.66661	0	
0.1140	-9.07199	-4.11098	0	
0.1147	-10.2992	-3.49989	0	
0.1153	-13.3553	-3.19435	0	
0.1160	-13.6441	-3.80544	0	
0.1167	-11.8152	-2.27771	0	
0.1173	-9.98641	-3.49989	0	
0.1180	-7.55598	-4.11098	0	
0.1187	-5.41432	-1.36107	0	
0.1193	-5.72714	-1.05552	0	
0.1200	-6.01591	-1.36107	0	
0.1207	-3.58548	2.30548	0	
0.1213	0.986609	2.30548	0	
0.1220	5.26994	-1.36107	0	
0.1227	8.61478	-0.138885	0	
0.1233	11.0693	1.69439	0	
0.1240	12.8981	0.472208	0	
0.1247	14.1254	0.472208	0	
0.1253	14.7269	-1.05552	0	
0.1260	16.5558	-2.8888	0	
0.1267	17.4702	0.472208	0	
0.1273	15.3285	1.69439	0	
0.1280	11.9837	-1.36107	0	
0.1287	9.84203	-0.138885	0	
0.1293	7.4116	2.61103	0	
0.1300	4.66834	0.777754	0	
0.1307	3.12827	1.38885	0	
0.1313	1.29944	3.83321	0	
0.1320	-0.216573	0.472208	0	
0.1327	-2.67106	-4.11098	0	
0.1333	-5.41432	-2.27771	0	
0.1340	-8.15757	-1.36107	0	
0.1347	-10.9008	-3.49989	0	
0.1353	-13.6441	-3.19435	0	
0.1360	-15.4729	-0.444431	0	
0.1367	-15.1842	-0.749977	0	
0.1373	-14.8713	-2.27771	0	
0.1380	-15.4729	-0.444431	0	
0.1387	-13.3553	1.38885	0	
0.1393	-6.32874	-0.444431	0	
0.1400	-1.75665	-1.66661	0	
0.1407	-0.5294	-0.749977	0	
0.1413	1.90103	0.472208	0	
0.1420	4.66834	1.69439	0	
0.1427	6.78594	1.38885	0	
0.1433	10.4677	-2.27771	0	
0.1440	11.0693	-3.19435	0	
0.1447	10.1549	-1.36107	0	
0.1453	15.3285	-0.444431	0	
0.1460	20.2135	-0.444431	0	
0.1467	17.783	1.0833	0	
0.1473	14.7269	0.472208	0	
0.1480	14.7269	-0.444431	0	
0.1487	12.2965	0.472208	0	
0.1493	6.18435	0.166661	0	
0.1500	0.986609	-0.749977	0	
0.1507	-1.75665	2.30548	0	
0.1513	-4.81273	4.74985	0	
0.1520	-8.15757	2.30548	0	
0.1527	-9.07199	1.0833	0	
0.1533	-8.75916	2.91658	0	
0.1540	-10.9008	2.61103	0	
0.1547	-11.8152	1.69439	0	
0.1553	-12.4409	3.22212	0	
0.1560	-15.7857	3.22212	0	
0.1567	-16.3873	0.472208	0	
0.1573	-11.5265	-0.444431	0	
0.1580	-9.07199	1.0833	0	
0.1587	-11.5265	3.22212	0	
