0.0000	-14.8329	-0.73978	1
0.0007	-6.30119	-1.35626	0	
0.0013	1.03161	0.184945	0	
0.0020	3.15059	-0.73978	0	
0.0027	7.44432	-3.7811	0	
0.0033	16.8961	-3.18517	0	
0.0040	22.082	-1.35626	0	
0.0047	21.7753	-1.04802	0	
0.0053	23.0021	-0.73978	0	
0.0060	26.0412	-1.04802	0	
0.0067	31.5338	-2.87692	0	
0.0073	37.6398	-3.7811	0	
0.0080	36.7198	-4.08934	0	
0.0087	33.9874	-6.53473	0	
0.0093	30.9204	-7.74714	0	
0.0100	23.6155	-5.32231	0	
0.0107	21.162	-2.26044	0	
0.0113	23.9222	-1.04802	0	
0.0120	17.5095	-0.73978	0	
0.0127	7.72314	-1.35626	0	
0.0133	8.02983	-3.18517	0	
0.0140	5.91085	-2.87692	0	
0.0147	-2.95542	0.493187	0	
0.0153	-8.44805	1.08912	0	
0.0160	-13.634	1.08912	0	
0.0167	-19.1266	2.63033	0	
0.0173	-19.1266	2.32209	0	
0.0180	-24.9259	0.780879	0	
0.0187	-39.8703	0.493187	0	
0.0193	-47.5098	-0.431538	0	
0.0200	-48.7087	-0.123297	0	
0.0207	-51.7757	4.15099	0	
0.0213	-42.3239	5.36341	0	
0.0220	-19.74	2.63033	0	
0.0227	-3.26212	2.32209	0	
0.0233	3.76398	2.91802	0	
0.0240	10.1767	1.39736	0	
0.0247	17.5095	1.08912	0	
0.0253	24.5356	2.01385	0	
0.0260	31.2271	0.493187	0	
0.0267	31.2271	-0.73978	0	
0.0273	26.6546	-0.431538	0	
0.0280	26.3479	0.184945	0	
0.0287	26.9613	-0.431538	0	
0.0293	23.6155	-1.64396	0	
0.0300	19.3218	-3.18517	0	
0.0307	16.5894	-3.47286	0	
0.0313	9.56331	-2.56868	0	
0.0320	0.724915	-1.04802	0	
0.0327	-5.99449	-0.123297	0	
0.0333	-12.7139	-0.431538	0	
0.0340	-21.2456	0.184945	0	
0.0347	-26.4315	1.7056	0	
0.0353	-30.1119	0.780879	0	
0.0360	-37.4168	-1.64396	0	
0.0367	-42.6306	-1.9522	0	
0.0373	-37.1101	-0.431538	0	
0.0380	-28.2717	0.493187	0	
0.0387	-26.4315	1.39736	0	
0.0393	-26.1248	2.32209	0	
0.0400	-18.8199	2.63033	0	
0.0407	-9.06144	1.7056	0	
0.0413	-0.80856	0.493187	0	
0.0420	8.33653	1.39736	0	
0.0427	17.2028	2.63033	0	
0.0433	21.162	0.493187	0	
0.0440	24.5356	-1.35626	0	
0.0447	30.307	-0.431538	0	
0.0453	31.5338	0.493187	0	
0.0460	30.0282	0.493187	0	
0.0467	30.9204	1.08912	0	
0.0473	32.7606	2.91802	0	
0.0480	31.8405	2.63033	0	
0.0487	29.1081	-0.431538	0	
0.0493	23.9222	-0.73978	0	
0.0500	18.4296	1.39736	0	
0.0507	14.7492	-0.73978	0	
0.0513	10.1767	-3.18517	0	
0.0520	2.8439	-0.431538	0	
0.0527	-3.54093	0.493187	0	
0.0533	-9.06144	-2.26044	0	
0.0540	-13.0206	-0.73978	0	
0.0547	-14.2474	0.493187	0	
0.0553	-14.8329	-1.35626	0	
0.0560	-21.859	0.184945	0	
0.0567	-28.8851	2.32209	0	
0.0573	-24.3125	1.08912	0	
0.0580	-19.1266	1.08912	0	
0.0587	-26.1248	2.32209	0	
0.0593	-33.4576	3.22626	0	
0.0600	-31.3387	4.74692	0	
0.0607	-26.4315	4.15099	0	
0.0613	-19.1266	0.493187	0	
0.0620	-6.30119	-1.04802	0	
0.0627	2.8439	-0.431538	0	
0.0633	8.33653	-0.431538	0	
0.0640	14.7492	-0.73978	0	
0.0647	20.2419	-2.26044	0	
0.0653	25.4278	-1.64396	0	
