0.0000	-4.52405	4.0324	1
0.0007	-3.60878	3.11498	0	
0.0013	-2.69351	1.57882	0	
0.0020	-4.52405	3.71237	0	
0.0027	-3.92259	3.41367	0	
0.0033	-3.29497	-2.68827	0	
0.0040	-7.26986	-4.52312	0	
0.0047	-9.41421	-0.554722	0	
0.0053	-4.52405	0.362703	0	
0.0060	-2.3797	-1.47215	0	
0.0067	-3.29497	-0.554722	0	
0.0073	-0.862969	-0.554722	0	
0.0080	0.0523012	-3.60569	0	
0.0087	-2.3797	-5.12051	0	
0.0093	0.0523012	-4.20308	0	
0.0100	5.54392	-1.77084	0	
0.0107	5.25627	-2.98696	0	
0.0113	1.88284	-6.95536	0	
0.0120	2.79811	-7.27539	0	
0.0127	5.85773	-4.52312	0	
0.0133	6.773	-4.52312	0	
0.0140	4.94246	-4.20308	0	
0.0147	2.79811	-1.47215	0	
0.0153	3.71338	-0.554722	0	
0.0160	4.62865	-0.554722	0	
0.0167	3.71338	0.981431	0	
0.0173	4.341	1.28013	0	
0.0180	6.17154	0.661399	0	
0.0187	5.85773	0.362703	0	
0.0193	6.45919	1.57882	0	
0.0200	9.205	3.11498	0	
0.0207	10.1203	3.11498	0	
0.0213	9.205	4.3311	0	
0.0220	7.68827	6.76334	0	
0.0227	3.11192	6.76334	0	
0.0233	-2.69351	4.94982	0	
0.0240	-3.60878	6.16595	0	
0.0247	-0.862969	8.29949	0	
0.0253	-1.15063	6.76334	0	
0.0260	-1.77824	4.3311	0	
0.0267	0.0523012	4.94982	0	
0.0273	0.0523012	6.16595	0	
0.0280	-3.60878	5.86725	0	
0.0287	-4.52405	5.24852	0	
0.0293	-2.69351	3.71237	0	
0.0300	-2.69351	1.28013	0	
0.0307	-4.21024	2.19755	0	
0.0313	-5.43932	4.0324	0	
0.0320	-7.58367	1.57882	0	
0.0327	-10.0157	0.0640064	0	
0.0333	-7.26986	1.57882	0	
0.0340	0.0523012	2.19755	0	
0.0347	4.02719	2.19755	0	
0.0353	1.59519	4.0324	0	
0.0360	1.28138	5.24852	0	
0.0367	5.54392	5.86725	0	
0.0373	5.54392	6.16595	0	
0.0380	2.79811	5.86725	0	
0.0387	4.02719	4.62979	0	
0.0393	7.37446	3.71237	0	
0.0400	6.45919	2.19755	0	
0.0407	5.25627	2.79494	0	
0.0413	5.54392	3.41367	0	
0.0420	6.773	1.57882	0	
0.0427	6.45919	0.981431	0	
0.0433	3.11192	1.57882	0	
0.0440	-0.235355	-1.15211	0	
0.0447	0.0523012	-3.30699	0	
0.0453	0.0523012	-0.554722	0	
0.0460	-0.235355	0.661399	0	
0.0467	0.0523012	-1.47215	0	
0.0473	-3.29497	-1.47215	0	
0.0480	-9.41421	-1.77084	0	
0.0487	-6.95605	-4.52312	0	
0.0493	0.366108	-5.12051	0	
0.0500	-0.862969	-4.52312	0	
0.0507	-4.83786	-5.12051	0	
0.0513	-2.98117	-3.30699	0	
0.0520	-1.77824	-1.15211	0	
0.0527	-4.52405	-1.47215	0	
0.0533	-4.83786	-0.554722	0	
0.0540	-3.60878	1.28013	0	
0.0547	-3.60878	0.0640064	0	
0.0553	-3.29497	-0.554722	0	
0.0560	-2.69351	0.362703	0	
0.0567	-3.92259	-0.554722	0	
0.0573	-3.29497	0.0640064	0	
0.0580	-1.77824	3.11498	0	
0.0587	-2.0659	3.11498	0	
0.0593	0.679915	0.362703	0	
0.0600	6.17154	4.0324	0	
0.0607	6.45919	4.0324	0	
0.0613	2.79811	4.0324	0	
0.0620	2.79811	4.0324	0	
0.0627	4.02719	4.0324	0	
0.0633	1.59519	4.0324	0	
0.0640	-2.0659	4.0324	0	
0.0647	-3.60878	4.0324	0	
0.0653	-1.15063	4.0324	0	
0.0660	0.967571	4.0324	0	
0.0667	-1.46443	4.0324	0	
0.0673	-3.60878	4.0324	0	
0.0680	-3.60878	4.0324	0	
0.0687	-7.26986	4.0324	0	
0.0693	-11.2447	4.0324	0	
0.0700	-10.0157	4.0324	0	
0.0707	-8.18513	4.0324	0	
0.0713	-8.78659	4.0324	0	
0.0720	-7.58367	4.0324	0	
0.0727	-6.35459	4.0324	0	
0.0733	-7.26986	4.0324	0	
0.0740	-6.6684	4.0324	0	
0.0747	-1.77824	4.0324	0	
0.0753	2.79811	4.0324	0	
0.0760	4.94246	4.0324	0	
0.0767	4.02719	4.0324	0	
0.0773	1.88284	4.0324	0	
0.0780	2.79811	4.0324	0	
0.0787	5.85773	4.0324	0	
0.0793	8.91735	4.0324	0	
0.0800	10.7479	4.0324	0	
0.0807	9.83262	4.0324	0	
0.0813	6.45919	4.0324	0	
0.0820	5.25627	4.0324	0	
0.0827	6.17154	4.0324	0	
0.0833	7.37446	4.0324	0	
0.0840	7.68827	-3.30699	0	
0.0847	3.42573	-1.47215	0	
0.0853	0.0523012	-0.256025	0	
0.0860	1.28138	-2.06954	0	
0.0867	3.11192	-4.20308	0	
0.0873	2.51046	-4.20308	0	
0.0880	2.19665	-3.60569	0	
0.0887	1.88284	-4.20308	0	
0.0893	0.967571	-5.12051	0	
0.0900	0.679915	-5.12051	0	
0.0907	0.0523012	-3.30699	0	
0.0913	0.366108	-0.853418	0	
0.0920	0.967571	-0.554722	0	
0.0927	-0.862969	-0.256025	0	
0.0933	-2.3797	0.0640064	0	
0.0940	0.0523012	-0.554722	0	
0.0947	3.11192	0.0640064	0	
0.0953	6.45919	2.19755	0	
0.0960	8.91735	3.71237	0	
0.0967	9.205	4.94982	0	
0.0973	9.51881	2.79494	0	
0.0980	8.91735	-2.38957	0	
0.0987	5.54392	-4.20308	0	
0.0993	3.11192	-4.20308	0	
0.1000	3.11192	-4.20308	0	
0.1007	2.79811	-2.38957	0	
0.1013	3.42573	-1.47215	0	
0.1020	5.54392	-2.68827	0	
0.1027	2.79811	-0.256025	0	
0.1033	-2.69351	3.11498	0	
0.1040	-1.77824	2.19755	0	
0.1047	1.88284	1.57882	0	
0.1053	1.28138	1.28013	0	
0.1060	-0.862969	-2.38957	0	
0.1067	-1.15063	-3.30699	0	
0.1073	-4.21024	-1.47215	0	
0.1080	-8.18513	-3.30699	0	
0.1087	-6.04078	-4.82181	0	
0.1093	-2.98117	-3.90439	0	
0.1100	-2.98117	-4.20308	0	
0.1107	0.967571	-6.65666	0	
0.1113	4.62865	-6.95536	0	
0.1120	-2.69351	-5.12051	0	
0.1127	-9.1004	-2.98696	0	
0.1133	-5.75313	-4.20308	0	
0.1140	-2.3797	-6.95536	0	
0.1147	-1.77824	-5.44054	0	
0.1153	1.59519	-3.30699	0	
0.1160	4.341	-3.30699	0	
0.1167	2.51046	-3.60569	0	
0.1173	1.88284	-2.98696	0	
0.1180	2.79811	-2.38957	0	
0.1187	1.88284	-0.256025	0	
0.1193	1.88284	0.362703	0	
0.1200	4.02719	-1.47215	0	
0.1207	3.71338	-1.47215	0	
0.1213	1.28138	-1.15211	0	
0.1220	2.79811	-2.98696	0	
0.1227	4.62865	-3.30699	0	
0.1233	4.02719	-0.554722	0	
0.1240	5.25627	2.19755	0	
0.1247	5.85773	3.71237	0	
0.1253	0.967571	3.11498	0	
0.1260	-2.0659	2.19755	0	
0.1267	-0.235355	3.11498	0	
0.1273	-0.862969	4.62979	0	
0.1280	-3.92259	4.94982	0	
0.1287	-3.60878	4.94982	0	
