0.0000	-1.24872	-0.197509	1
0.0007	-1.5609	1.92571	0	
0.0013	-0.343398	1.33318	0	
0.0020	-0.93654	-0.493772	0	
0.0027	-2.7784	1.33318	0	
0.0033	-3.37154	3.16014	0	
0.0040	-3.37154	2.86388	0	
0.0047	-2.46622	2.51824	0	
0.0053	-1.5609	0.0987544	0	
0.0060	-2.7784	-4.19706	0	
0.0067	-5.21341	-4.19706	0	
0.0073	-4.62026	-2.02446	0	
0.0080	-3.37154	-1.43194	0	
0.0087	-4.30808	0.395018	0	
0.0093	-5.21341	2.51824	0	
0.0100	-3.37154	4.04893	0	
0.0107	-1.5609	4.9871	0	
0.0113	-1.5609	4.9871	0	
0.0120	-0.62436	4.9871	0	
0.0127	3.02815	5.87589	0	
0.0133	4.83879	4.04893	0	
0.0140	3.93347	1.62945	0	
0.0147	3.93347	3.4564	0	
0.0153	4.83879	3.4564	0	
0.0160	3.93347	-1.43194	0	
0.0167	3.02815	-2.66637	0	
0.0173	5.15097	1.03692	0	
0.0180	7.58597	2.22197	0	
0.0187	6.99283	2.22197	0	
0.0193	4.55783	4.04893	0	
0.0200	3.93347	4.39457	0	
0.0207	6.36847	-0.493772	0	
0.0213	10.3332	-4.19706	0	
0.0220	11.8628	-1.43194	0	
0.0227	8.83469	0.395018	0	
0.0233	3.62129	-0.839412	0	
0.0240	1.49846	1.03692	0	
0.0247	3.02815	2.22197	0	
0.0253	3.02815	-1.13568	0	
0.0260	2.09161	-2.32073	0	
0.0267	3.02815	0.395018	0	
0.0273	2.71597	-1.43194	0	
0.0280	1.18628	-6.02402	0	
0.0287	2.71597	-5.08585	0	
0.0293	3.34033	-2.96263	0	
0.0300	0.874104	-4.19706	0	
0.0307	1.81064	-4.19706	0	
0.0313	4.83879	-4.19706	0	
0.0320	4.55783	-5.08585	0	
0.0327	3.02815	-4.19706	0	
0.0333	3.02815	-1.43194	0	
0.0340	3.93347	-0.493772	0	
0.0347	4.55783	-1.43194	0	
0.0353	3.93347	-1.7282	0	
0.0360	3.34033	-1.43194	0	
0.0367	5.46315	-0.197509	0	
0.0373	6.68065	0.395018	0	
