0.0000	-5.52283	3.25193	1
0.0007	-6.73809	4.13082	0	
0.0013	-6.12444	3.55954	0	
0.0020	-6.12444	-1.05468	0	
0.0027	-4.90918	-2.24119	0	
0.0033	-2.46662	-0.439449	0	
0.0040	-2.16581	-3.16404	0	
0.0047	-3.38108	-5.00972	0	
0.0053	-4.59634	-2.24119	0	
0.0060	-5.82364	-1.36229	0	
0.0067	-4.59634	-3.77926	0	
0.0073	-3.68189	-4.39449	0	
0.0080	-6.73809	-4.70211	0	
0.0087	-7.35174	-5.00972	0	
0.0093	-3.38108	-5.00972	0	
0.0100	-2.46662	-4.39449	0	
0.0107	-4.29553	-3.16404	0	
0.0113	-4.29553	-1.36229	0	
0.0120	-2.76743	-2.24119	0	
0.0127	-1.23933	-2.24119	0	
0.0133	-1.55217	0.791009	0	
0.0140	-5.20999	0.483394	0	
0.0147	-4.29553	-2.24119	0	
0.0153	-0.637712	-2.24119	0	
0.0160	-0.93852	-1.36229	0	
0.0167	-2.46662	-1.05468	0	
0.0173	-2.16581	-0.131835	0	
0.0180	-4.29553	-0.131835	0	
0.0187	-4.29553	0.483394	0	
0.0193	0.276743	2.6367	0	
0.0200	2.10565	2.32908	0	
0.0207	0.589583	0.483394	0	
0.0213	-0.93852	-0.439449	0	
0.0220	-3.38108	-1.97752	0	
0.0227	-4.29553	-1.36229	0	
0.0233	-4.29553	0.483394	0	
0.0240	-5.82364	0.483394	0	
0.0247	-5.20999	0.483394	0	
0.0253	-3.38108	0.791009	0	
0.0260	-3.38108	-0.439449	0	
0.0267	-1.85297	-1.36229	0	
0.0273	0.89039	-1.05468	0	
0.0280	-0.637712	-2.85642	0	
0.0287	-1.23933	-4.70211	0	
0.0293	0.276743	-5.00972	0	
0.0300	-1.55217	-5.00972	0	
0.0307	-2.46662	-3.77926	0	
0.0313	-0.324872	-3.16404	0	
0.0320	-1.55217	-5.00972	0	
0.0327	-5.20999	-5.93257	0	
0.0333	-4.90918	-6.24018	0	
0.0340	-3.99472	-7.16303	0	
0.0347	-3.68189	-4.08688	0	
0.0353	-0.324872	1.09862	0	
0.0360	0.589583	0.483394	0	
0.0367	-3.38108	-4.08688	0	
0.0373	-4.29553	-3.47165	0	
0.0380	-0.637712	0.791009	0	
0.0387	1.80485	2.32908	0	
0.0393	1.50404	-1.36229	0	
0.0400	1.50404	-3.77926	0	
0.0407	2.41849	-0.131835	0	
0.0413	2.7193	2.32908	0	
0.0420	1.50404	-1.36229	0	
0.0427	1.1912	-4.08688	0	
0.0433	2.41849	-1.36229	0	
0.0440	3.33295	2.32908	0	
0.0447	3.63376	0.483394	0	
0.0453	4.54821	-1.97752	0	
0.0460	4.86105	-2.24119	0	
0.0467	4.54821	-2.54881	0	
0.0473	4.2474	-3.16404	0	
0.0480	5.46267	-4.08688	0	
0.0487	6.99077	-5.93257	0	
0.0493	6.68996	-5.62495	0	
0.0500	5.16186	-2.24119	0	
0.0507	5.46267	-2.24119	0	
0.0513	5.46267	-2.24119	0	
0.0520	2.7193	2.32908	0	
0.0527	1.1912	4.43844	0	
0.0533	2.7193	2.32908	0	
0.0540	3.03214	1.40624	0	
0.0547	0.589583	-0.747064	0	
0.0553	-1.23933	-4.08688	0	
0.0560	-0.637712	-1.36229	0	
0.0567	2.10565	1.71385	0	
0.0573	3.63376	-1.36229	0	
0.0580	1.50404	-4.08688	0	
0.0587	0.589583	-4.08688	0	
0.0593	1.1912	-5.00972	0	
0.0600	0.276743	-4.70211	0	
0.0607	1.1912	-1.97752	0	
0.0613	3.33295	-0.439449	0	
0.0620	1.1912	-0.439449	0	
0.0627	1.1912	-1.05468	0	
0.0633	5.16186	-1.36229	0	
0.0640	4.54821	0.17578	0	
0.0647	1.1912	0.483394	0	
0.0653	2.10565	-1.66991	0	
0.0660	4.86105	-2.24119	0	
0.0667	4.86105	0.791009	0	
0.0673	3.63376	2.32908	0	
0.0680	2.41849	0.483394	0	
0.0687	2.10565	-0.439449	0	
0.0693	-0.0240646	1.09862	0	
0.0700	-4.29553	3.25193	0	
