0.0000	3.96736	-0.37408	1
0.0007	4.27255	-0.665031	0	
0.0013	4.57773	-0.955982	0	
0.0020	2.74664	-1.8704	0	
0.0027	2.74664	-3.11733	0	
0.0033	4.88291	-2.20291	0	
0.0040	3.96736	0.540338	0	
0.0047	0.915545	1.1638	0	
0.0053	0.915545	-0.0415644	0	
0.0060	2.74664	0.540338	0	
0.0067	1.83109	1.45475	0	
0.0073	0	1.45475	0	
0.0080	0.610364	1.45475	0	
0.0087	1.22073	0.540338	0	
0.0093	-1.22073	-1.2885	0	
0.0100	-3.05182	-0.37408	0	
0.0107	-2.44145	-0.37408	0	
0.0113	-2.44145	-2.20291	0	
0.0120	-3.357	-0.665031	0	
0.0127	-2.44145	2.36917	0	
0.0133	-1.22073	2.07822	0	
0.0140	-1.22073	2.07822	0	
0.0147	-0.610364	4.19801	0	
0.0153	1.22073	3.28359	0	
0.0160	0.305182	0.540338	0	
0.0167	-0.610364	1.45475	0	
0.0173	0.305182	3.6161	0	
0.0180	0.610364	3.28359	0	
0.0187	-0.305182	1.45475	0	
0.0193	0.305182	-0.37408	0	
0.0200	1.22073	-0.665031	0	
0.0207	2.74664	1.45475	0	
0.0213	4.27255	2.07822	0	
0.0220	2.13627	0.540338	0	
0.0227	-2.13627	1.45475	0	
0.0233	-3.05182	1.45475	0	
0.0240	-2.44145	-0.37408	0	
0.0247	-1.52591	-0.0415644	0	
0.0253	0.305182	1.45475	0	
0.0260	-1.83109	1.45475	0	
0.0267	-5.79845	0.872853	0	
0.0273	-4.57773	0.540338	0	
0.0280	-0.610364	-0.37408	0	
0.0287	0	-0.37408	0	
0.0293	-0.305182	-2.20291	0	
0.0300	1.22073	-5.86058	0	
0.0307	2.13627	-6.15153	0	
0.0313	1.22073	-3.7408	0	
0.0320	0	-4.94617	0	
0.0327	-0.305182	-6.48405	0	
0.0333	-1.52591	-4.3227	0	
0.0340	-3.05182	-2.49387	0	
0.0347	-0.610364	-1.8704	0	
0.0353	1.52591	-1.2885	0	
0.0360	-0.305182	-2.20291	0	
0.0367	-2.13627	-5.56963	0	
0.0373	-2.44145	-7.06595	0	
0.0380	-3.05182	-3.7408	0	
0.0387	-2.44145	1.78727	0	
0.0393	-2.13627	2.70169	0	
0.0400	-4.57773	0.540338	0	
0.0407	-5.18809	1.1638	0	
0.0413	-2.74664	3.90706	0	
0.0420	-2.44145	3.28359	0	
0.0427	-2.74664	0.872853	0	
0.0433	-2.13627	1.45475	0	
0.0440	-1.22073	2.99264	0	
0.0447	0	0.872853	0	
0.0453	0.610364	-1.57945	0	
0.0460	-0.305182	-1.8704	0	
0.0467	0.915545	-2.20291	0	
0.0473	3.05182	-3.11733	0	
0.0480	0.610364	-1.8704	0	
0.0487	-3.05182	0.540338	0	
0.0493	-1.52591	2.36917	0	
0.0500	1.83109	2.70169	0	
0.0507	2.13627	0.872853	0	
0.0513	0.610364	-0.665031	0	
0.0520	-2.44145	0.249387	0	
0.0527	-2.74664	0.872853	0	
0.0533	1.22073	-0.0415644	0	
0.0540	2.74664	1.45475	0	
0.0547	-0.915545	2.70169	0	
0.0553	-1.52591	0.540338	0	
0.0560	2.13627	-0.0415644	0	
0.0567	3.05182	3.28359	0	
0.0573	1.83109	3.28359	0	
0.0580	1.22073	-0.37408	0	
0.0587	2.13627	2.36917	0	
0.0593	0.305182	5.73589	0	
0.0600	-3.05182	1.78727	0	
0.0607	-1.52591	-1.57945	0	
0.0613	3.05182	0.540338	0	
0.0620	1.52591	1.45475	0	
0.0627	-2.44145	0.872853	0	
0.0633	0.915545	1.45475	0	
0.0640	1.52591	1.1638	0	
0.0647	-6.714	1.45475	0	
0.0653	-8.23991	2.36917	0	
0.0660	-0.610364	0.872853	0	
0.0667	-0.610364	-0.37408	0	
0.0673	-4.88291	2.99264	0	
0.0680	-3.357	6.02684	0	
0.0687	-0.915545	5.11242	0	
0.0693	-1.52591	2.70169	0	
0.0700	0	2.36917	0	
0.0707	0.305182	3.90706	0	
0.0713	-4.27255	4.19801	0	
0.0720	-6.40882	2.99264	0	
0.0727	-3.05182	3.6161	0	
0.0733	-2.44145	6.02684	0	
0.0740	-5.18809	4.19801	0	
0.0747	-4.27255	1.1638	0	
0.0753	-2.44145	0.872853	0	
0.0760	-2.44145	0.249387	0	
0.0767	-1.22073	-1.2885	0	
0.0773	2.13627	-1.8704	0	
0.0780	3.05182	-3.11733	0	
0.0787	1.52591	-4.03175	0	
0.0793	1.52591	-4.03175	0	
0.0800	1.52591	-4.03175	0	
0.0807	0	-4.03175	0	
0.0813	-1.52591	-2.20291	0	
0.0820	-0.610364	-2.20291	0	
0.0827	0.305182	-1.57945	0	
0.0833	1.52591	-0.0415644	0	
0.0840	2.74664	0.540338	0	
0.0847	2.74664	1.45475	0	
0.0853	3.05182	2.99264	0	
0.0860	3.357	1.45475	0	
0.0867	2.13627	0.249387	0	
0.0873	1.22073	1.1638	0	
0.0880	3.05182	-1.2885	0	
0.0887	2.44145	-4.03175	0	
0.0893	0.305182	-0.955982	0	
0.0900	0.305182	2.99264	0	
0.0907	1.22073	2.36917	0	
0.0913	0.915545	2.36917	0	
0.0920	3.05182	3.28359	0	
0.0927	4.88291	1.45475	0	
0.0933	3.05182	-0.955982	0	
0.0940	3.05182	-0.955982	0	
0.0947	3.96736	-0.37408	0	
0.0953	1.52591	-0.37408	0	
0.0960	1.22073	0.540338	0	
0.0967	4.88291	0.540338	0	
0.0973	5.49327	-0.0415644	0	
0.0980	3.05182	2.07822	0	
0.0987	2.13627	3.90706	0	
0.0993	1.22073	1.45475	0	
0.1000	0.915545	0.872853	0	
0.1007	2.13627	3.6161	0	
0.1013	-0.305182	4.53052	0	
0.1020	-3.357	4.19801	0	
0.1027	-2.13627	6.02684	0	
0.1033	-3.357	6.02684	0	
0.1040	-7.93473	4.19801	0	
0.1047	-6.40882	3.90706	0	
0.1053	-3.357	4.19801	0	
