0.0000	6.27945	2.1492	1
0.0007	5.36728	6.41294	0	
0.0013	3.83377	5.82364	0	
0.0020	3.52971	-0.589297	0	
0.0027	3.52971	-2.11454	0	
0.0033	2.00942	0.311981	0	
0.0040	0.475916	1.52524	0	
0.0047	0.475916	6.10096	0	
0.0053	0.171859	11.6126	0	
0.0060	0.475916	8.87412	0	
0.0067	1.70537	2.77316	0	
0.0073	1.08403	2.1492	0	
0.0080	2.00942	3.05048	0	
0.0087	4.74594	2.1492	0	
0.0093	3.83377	2.1492	0	
0.0100	0.171859	2.46118	0	
0.0107	-1.04437	2.1492	0	
0.0113	-0.436257	1.24792	0	
0.0120	1.08403	-0.277316	0	
0.0127	0.171859	0	0	
0.0133	-2.88194	0.311981	0	
0.0140	-2.57788	-2.7385	0	
0.0147	-0.740314	-4.26374	0	
0.0153	-3.49005	0	0	
0.0160	-2.27382	0.935943	0	
0.0167	2.00942	-1.52524	0	
0.0173	-1.65249	-0.901278	0	
0.0180	-5.01034	-0.589297	0	
0.0187	-0.740314	-2.42652	0	
0.0193	1.08403	-1.21326	0	
0.0200	-1.95655	0.311981	0	
0.0207	-2.27382	0	0	
0.0213	-1.65249	0.311981	0	
0.0220	-1.34843	-0.589297	0	
0.0227	-0.740314	-2.7385	0	
0.0233	-1.34843	-2.42652	0	
0.0240	-2.57788	-2.11454	0	
0.0247	-3.49005	-2.42652	0	
0.0253	-4.40223	-2.42652	0	
0.0260	-2.27382	-3.05048	0	
0.0267	-0.740314	-3.63978	0	
0.0273	-2.57788	-3.36246	0	
0.0280	-4.40223	-3.95176	0	
0.0287	-4.70628	-4.26374	0	
0.0293	-2.57788	-2.42652	0	
0.0300	1.08403	-1.52524	0	
0.0307	0.171859	-1.83722	0	
0.0313	-4.40223	-3.36246	0	
0.0320	-4.40223	-4.8877	0	
0.0327	-2.57788	-4.26374	0	
0.0333	-1.65249	-2.42652	0	
0.0340	-0.436257	-1.52524	0	
0.0347	-1.34843	-0.589297	0	
0.0353	-3.79411	0.623962	0	
0.0360	-4.40223	0.623962	0	
0.0367	-4.40223	0.623962	0	
0.0373	-4.70628	-1.21326	0	
0.0380	-2.57788	-3.63978	0	
0.0387	0.171859	-3.05048	0	
0.0393	1.08403	-2.42652	0	
0.0400	0.779974	-3.36246	0	
0.0407	1.38809	-0.589297	0	
0.0413	2.9216	3.05048	0	
0.0420	0.779974	3.05048	0	
0.0427	-1.34843	3.98642	0	
0.0433	2.00942	6.41294	0	
0.0440	4.74594	5.51166	0	
0.0447	4.74594	2.46118	0	
0.0453	5.97539	1.83722	0	
0.0460	4.74594	3.67444	0	
0.0467	1.08403	5.19968	0	
0.0473	1.08403	3.05048	0	
0.0480	2.61754	1.52524	0	
0.0487	1.38809	4.2984	0	
0.0493	1.70537	4.8877	0	
0.0500	2.9216	2.77316	0	
0.0507	1.38809	2.1492	0	
0.0513	1.08403	1.24792	0	
0.0520	2.61754	-0.901278	0	
0.0527	3.83377	-2.42652	0	
0.0533	4.74594	-4.26374	0	
0.0540	4.13783	-4.8877	0	
0.0547	1.08403	-1.52524	0	
0.0553	-1.04437	0.311981	0	
0.0560	-0.436257	-2.11454	0	
0.0567	-0.132199	-3.95176	0	
0.0573	-1.34843	-4.57572	0	
0.0580	-0.132199	-5.78898	0	
0.0587	3.83377	-5.16502	0	
0.0593	5.05	-4.26374	0	
0.0600	2.9216	-5.16502	0	
0.0607	1.08403	-5.477	0	
0.0613	0.171859	-3.63978	0	
0.0620	-0.436257	-0.589297	0	
0.0627	-1.34843	0.311981	0	
0.0633	-2.27382	-0.589297	0	
0.0640	-1.65249	-0.589297	0	
0.0647	-1.65249	-2.42652	0	
0.0653	-1.34843	-7.00224	0	
0.0660	-0.132199	-5.78898	0	
0.0667	-0.740314	1.24792	0	
0.0673	-2.57788	2.1492	0	
0.0680	-1.34843	-1.21326	0	
0.0687	-0.740314	0.311981	0	
0.0693	-4.40223	2.77316	0	
0.0700	-4.70628	0.935943	0	
0.0707	-0.740314	-1.83722	0	
0.0713	1.08403	-2.42652	0	
0.0720	-1.34843	-1.52524	0	
0.0727	-2.57788	-0.277316	0	
0.0733	-2.27382	-0.589297	0	
0.0740	0.475916	-0.589297	0	
0.0747	3.83377	1.24792	0	
0.0753	4.74594	0.311981	0	
0.0760	4.74594	-2.7385	0	
0.0767	3.52971	-0.589297	0	
0.0773	-0.132199	3.67444	0	
0.0780	-1.65249	1.83722	0	
0.0787	1.70537	-0.589297	0	
0.0793	2.00942	2.46118	0	
0.0800	0.171859	3.98642	0	
0.0807	2.9216	1.52524	0	
0.0813	4.74594	0	0	
0.0820	0.171859	-0.277316	0	
0.0827	-0.132199	1.24792	0	
0.0833	3.22566	3.36246	0	
0.0840	1.08403	3.98642	0	
0.0847	-1.34843	4.57572	0	
0.0853	-0.436257	6.72492	0	
0.0860	-1.65249	8.56214	0	
0.0867	-2.57788	9.46342	0	
0.0873	0.171859	10.9887	0	
0.0880	1.08403	10.3994	0	
0.0887	0.171859	8.56214	0	
0.0893	-0.436257	7.0369	0	
0.0900	0.171859	4.8877	0	
0.0907	1.70537	2.77316	0	
0.0913	2.00942	1.24792	0	
0.0920	0.779974	-1.21326	0	
0.0927	0.475916	-2.7385	0	
0.0933	1.70537	-3.05048	0	
0.0940	1.38809	-2.7385	0	
0.0947	2.00942	-2.42652	0	
0.0953	2.31348	-3.36246	0	
0.0960	0.171859	-5.477	0	
0.0967	-1.04437	-6.10096	0	
0.0973	0.475916	-7.00224	0	
0.0980	0.171859	-9.15144	0	
0.0987	-0.740314	-8.2155	0	
0.0993	0.475916	-5.16502	0	
0.1000	2.00942	-3.95176	0	
0.1007	1.70537	-3.95176	0	
0.1013	2.00942	-3.95176	0	
0.1020	2.00942	-2.42652	0	
0.1027	0.171859	0.311981	0	
0.1033	-3.49005	-0.277316	0	
0.1040	-4.70628	-1.83722	0	
0.1047	-5.3144	-0.277316	0	
0.1053	-4.70628	-0.901278	0	
0.1060	-1.34843	-4.57572	0	
0.1067	0.779974	-2.42652	0	
0.1073	-1.65249	2.1492	0	
0.1080	-3.186	1.52524	0	
0.1087	-1.04437	0.623962	0	
0.1093	-0.132199	2.1492	0	
0.1100	0.171859	0.311981	0	
0.1107	1.08403	-0.277316	0	
0.1113	-0.436257	1.24792	0	
0.1120	-1.95655	-1.52524	0	
0.1127	-1.65249	-5.78898	0	
0.1133	-1.34843	-3.36246	0	
0.1140	-0.436257	-0.901278	0	
0.1147	2.00942	-2.42652	0	
0.1153	2.9216	-0.589297	0	
0.1160	2.61754	2.1492	0	
0.1167	2.31348	-0.277316	0	
0.1173	2.00942	-2.11454	0	
0.1180	2.00942	-0.589297	0	
0.1187	2.00942	-0.901278	0	
0.1193	0.171859	-1.52524	0	
0.1200	-1.04437	-0.277316	0	
0.1207	-0.436257	-1.21326	0	
0.1213	1.08403	-3.05048	0	
0.1220	2.61754	-1.21326	0	
0.1227	2.00942	0.623962	0	
0.1233	-0.132199	0.935943	0	
0.1240	-0.740314	3.67444	0	
0.1247	0.171859	7.0369	0	
0.1253	-0.740314	7.34888	0	
0.1260	-2.57788	5.82364	0	
0.1267	-2.57788	4.8877	0	
0.1273	-2.57788	4.8877	0	
0.1280	-3.49005	3.98642	0	
0.1287	-2.88194	1.83722	0	
0.1293	0.475916	1.24792	0	
0.1300	1.08403	3.98642	0	
0.1307	-1.34843	3.98642	0	
0.1313	-0.436257	-0.277316	0	
0.1320	3.52971	-3.36246	0	
0.1327	4.44189	-3.63978	0	
0.1333	2.9216	-2.7385	0	
0.1340	2.9216	-2.7385	0	
0.1347	2.9216	-4.26374	0	
0.1353	3.83377	-3.63978	0	
0.1360	7.49568	-1.52524	0	
0.1367	11.7657	-3.05048	0	
0.1373	11.1576	-4.26374	0	
0.1380	7.79974	-2.11454	0	
0.1387	4.74594	-0.589297	0	
0.1393	2.31348	-0.901278	0	
0.1400	1.08403	1.52524	0	
0.1407	2.00942	3.05048	0	
0.1413	2.00942	1.83722	0	
0.1420	2.00942	3.05048	0	
0.1427	3.22566	5.82364	0	
0.1433	2.9216	4.2984	0	
0.1440	0.171859	0.623962	0	
0.1447	2.00942	-1.52524	0	
0.1453	4.74594	-1.52524	0	
0.1460	2.61754	-1.21326	0	
0.1467	2.00942	-0.901278	0	
0.1473	3.52971	-1.52524	0	
0.1480	0.171859	-2.42652	0	
0.1487	-2.57788	-3.36246	0	
0.1493	0.475916	-4.26374	0	
0.1500	1.08403	-3.95176	0	
0.1507	-1.95655	-1.83722	0	
0.1513	-3.49005	0.311981	0	
0.1520	-4.70628	0.311981	0	
0.1527	-6.23979	-1.52524	0	
0.1533	-6.23979	-0.589297	0	
0.1540	-5.3144	1.83722	0	
0.1547	-4.40223	2.1492	0	
0.1553	-4.40223	3.05048	0	
0.1560	-5.63168	3.67444	0	
0.1567	-6.23979	-0.277316	0	
0.1573	-6.23979	-2.42652	0	
0.1580	-5.3144	0.311981	0	
0.1587	-0.740314	0	0	
0.1593	1.08403	-2.11454	0	
0.1600	-2.27382	-1.83722	0	
0.1607	-2.57788	-3.36246	0	
0.1613	-1.04437	-4.26374	0	
0.1620	-1.65249	-1.52524	0	
0.1627	-0.740314	-1.52524	0	
0.1633	2.00942	-3.05048	0	
0.1640	2.00942	0.623962	0	
0.1647	2.9216	2.46118	0	
0.1653	5.67134	-0.589297	0	
0.1660	5.05	-0.589297	0	
0.1667	2.9216	0.311981	0	
0.1673	2.9216	0.311981	0	
0.1680	1.70537	2.46118	0	
0.1687	0.171859	3.05048	0	
0.1693	1.38809	1.52524	0	
0.1700	2.31348	3.05048	0	
0.1707	1.08403	3.05048	0	
0.1713	1.08403	-1.83722	0	
0.1720	2.61754	-3.63978	0	
0.1727	1.38809	-2.42652	0	
0.1733	-2.27382	-2.42652	0	
0.1740	-1.65249	-1.52524	0	
0.1747	2.00942	-1.52524	0	
0.1753	2.00942	-2.11454	0	
0.1760	1.08403	-0.277316	0	
0.1767	3.22566	0.311981	0	
0.1773	4.13783	-2.42652	0	
0.1780	2.9216	-3.95176	0	
0.1787	3.22566	-4.8877	0	
0.1793	1.70537	-5.16502	0	
0.1800	-0.740314	-2.42652	0	
0.1807	-0.132199	-0.901278	0	
0.1813	0.171859	-3.05048	0	
0.1820	-3.49005	-2.42652	0	
0.1827	-4.70628	-0.901278	0	
0.1833	-2.27382	-1.52524	0	
0.1840	-1.65249	-1.21326	0	
0.1847	-2.88194	-1.83722	0	
0.1853	-2.57788	-4.8877	0	
0.1860	-1.65249	-4.26374	0	
0.1867	-2.88194	-2.42652	0	
0.1873	-3.186	-3.63978	0	
0.1880	-0.740314	-3.95176	0	
0.1887	-0.132199	-2.7385	0	
0.1893	-2.27382	-4.8877	0	
0.1900	-3.49005	-6.10096	0	
0.1907	-4.40223	-3.95176	0	
0.1913	-3.79411	-2.42652	0	
0.1920	-2.57788	-1.83722	0	
0.1927	-3.49005	-1.83722	0	
0.1933	-4.40223	-3.36246	0	
0.1940	-2.27382	-5.16502	0	
0.1947	0.171859	-6.10096	0	
0.1953	-0.132199	-6.10096	0	
0.1960	-0.132199	-4.57572	0	
0.1967	2.31348	-2.7385	0	
0.1973	4.13783	-5.16502	0	
0.1980	2.9216	-7.6262	0	
0.1987	1.70537	-3.63978	0	
0.1993	2.00942	-0.589297	0	
0.2000	2.00942	-3.63978	0	
0.2007	0.475916	-3.36246	0	
0.2013	1.08403	3.05048	0	
0.2020	2.9216	5.51166	0	
0.2027	2.9216	4.8877	0	
0.2033	1.38809	5.82364	0	
0.2040	0.171859	6.72492	0	
0.2047	0.779974	7.6262	0	
0.2053	4.13783	7.93818	0	
0.2060	4.13783	4.8877	0	
0.2067	-0.436257	3.98642	0	
0.2073	-0.436257	7.6262	0	
0.2080	2.00942	7.6262	0	
0.2087	0.171859	3.98642	0	
0.2093	-1.95655	3.67444	0	
0.2100	-1.04437	3.98642	0	
0.2107	-0.740314	1.24792	0	
0.2113	-1.34843	0.311981	0	
0.2120	-0.740314	2.1492	0	
0.2127	-1.34843	0.311981	0	
0.2133	-1.65249	-3.05048	0	
0.2140	-2.27382	-2.7385	0	
0.2147	-3.49005	-0.277316	0	
0.2153	-1.65249	0.623962	0	
0.2160	0.171859	0	0	
0.2167	-1.65249	-0.277316	0	
0.2173	-2.57788	-0.277316	0	
0.2180	-2.88194	-0.589297	0	
0.2187	-5.3144	1.24792	0	
0.2193	-4.40223	3.05048	0	
0.2200	-1.04437	1.24792	0	
0.2207	-3.49005	0.311981	0	
0.2213	-5.3144	3.67444	0	
0.2220	-2.88194	4.8877	0	
0.2227	-3.49005	2.1492	0	
0.2233	-4.40223	1.24792	0	
0.2240	-0.740314	2.1492	0	
0.2247	1.38809	2.46118	0	
0.2253	1.08403	3.67444	0	
0.2260	2.00942	5.51166	0	
0.2267	2.00942	3.98642	0	
0.2273	1.70537	1.24792	0	
0.2280	2.00942	0.623962	0	
0.2287	-0.132199	0.311981	0	
0.2293	-3.49005	-3.05048	0	
0.2300	-2.88194	-7.6262	0	
0.2307	-2.57788	-8.83946	0	
0.2313	-2.57788	-8.83946	0	
0.2320	-0.132199	-7.93818	0	
0.2327	-1.34843	-5.16502	0	
0.2333	-6.23979	-2.42652	0	
0.2340	-7.15197	-2.42652	0	
0.2347	-6.23979	-2.42652	0	
0.2353	-8.06414	-3.36246	0	
0.2360	-7.15197	-6.10096	0	
0.2367	-5.01034	-6.41294	0	
0.2373	-5.63168	-4.26374	0	
0.2380	-6.23979	-3.36246	0	
0.2387	-5.63168	-2.42652	0	
0.2393	-6.23979	0	0	
0.2400	-6.23979	0	0	
0.2407	-6.84791	-0.901278	0	
0.2413	-8.06414	0	0	
0.2420	-5.3144	1.52524	0	
0.2427	-2.88194	2.46118	0	
0.2433	-5.3144	2.1492	0	
0.2440	-5.93574	0.935943	0	
0.2447	-2.88194	1.24792	0	
0.2453	-3.49005	0.623962	0	
0.2460	-6.54385	-2.11454	0	
0.2467	-7.15197	0	0	
0.2473	-6.23979	3.67444	0	
0.2480	-5.3144	2.1492	0	
0.2487	-4.40223	1.52524	0	
0.2493	-2.88194	4.8877	0	
0.2500	-1.34843	2.1492	0	
0.2507	-1.65249	-5.16502	0	
