0.0000	20.2026	-9.15739	1
0.0007	18.372	-9.15739	0	
0.0013	18.0725	-8.25632	0	
0.0020	17.4567	-6.41227	0	
0.0027	15.6262	-3.05945	0	
0.0033	15.0105	0.293372	0	
0.0040	13.7957	0.293372	0	
0.0047	8.91975	-0.314327	0	
0.0053	4.64293	0.607698	0	
0.0060	3.72766	0.90107	0	
0.0067	1.89711	1.2154	0	
0.0073	-0.549164	1.8231	0	
0.0080	0.0665653	-0.314327	0	
0.0087	2.81238	-3.05945	0	
0.0093	2.19665	-0.314327	0	
0.0100	-6.65653	4.25389	0	
0.0107	-18.8546	5.17591	0	
0.0113	-20.3856	5.49024	0	
0.0120	-14.5778	6.70564	0	
0.0127	-14.894	7.92103	0	
0.0133	-15.8093	7.92103	0	
0.0140	-6.34034	5.78361	0	
0.0147	0.0665653	4.25389	0	
0.0153	-6.0408	3.64619	0	
0.0160	-10.9167	2.74512	0	
0.0167	-10.3176	1.8231	0	
0.0173	-13.363	2.74512	0	
0.0180	-20.0861	3.64619	0	
0.0187	-20.6852	4.56822	0	
0.0193	-11.832	6.39131	0	
0.0200	-1.76398	6.39131	0	
0.0207	1.89711	5.49024	0	
0.0213	3.11193	5.17591	0	
0.0220	6.17393	3.64619	0	
0.0227	4.64293	1.50877	0	
0.0233	1.89711	1.2154	0	
0.0240	4.94247	0.293372	0	
0.0247	7.0892	-0.922025	0	
0.0253	4.34339	-0.922025	0	
0.0260	4.94247	-1.84405	0	
0.0267	11.0498	-3.66715	0	
0.0273	15.6262	-3.98147	0	
0.0280	10.1346	-2.76608	0	
0.0287	-2.08017	-0.922025	0	
0.0293	-9.70189	1.50877	0	
0.0300	-7.87135	0.90107	0	
0.0307	-5.12553	-1.23635	0	
0.0313	-2.67925	0	0	
0.0320	1.58093	2.13742	0	
0.0327	2.81238	1.8231	0	
0.0333	-1.46444	2.74512	0	
0.0340	-4.5098	5.78361	0	
0.0347	-5.12553	4.88254	0	
0.0353	-7.25562	2.43079	0	
0.0360	-11.832	2.74512	0	
0.0367	-13.9787	2.43079	0	
0.0373	-12.7473	1.2154	0	
0.0380	-9.08616	2.43079	0	
0.0387	-5.42507	2.74512	0	
0.0393	-1.76398	1.2154	0	
0.0400	1.89711	1.50877	0	
0.0407	6.17393	1.50877	0	
0.0413	10.7503	-1.23635	0	
0.0420	15.6262	-3.05945	0	
0.0427	18.6716	-4.27484	0	
0.0433	19.903	-5.5112	0	
0.0440	19.5868	-4.58917	0	
0.0447	16.5415	-4.88254	0	
0.0453	12.8804	-8.54969	0	
0.0460	15.0105	-9.47171	0	
0.0467	20.2026	-8.25632	0	
0.0473	19.5868	-9.76508	0	
0.0480	12.5808	-8.54969	0	
0.0487	2.19665	-3.98147	0	
0.0493	-9.70189	-3.05945	0	
0.0500	-15.8093	-4.27484	0	
0.0507	-11.832	-2.76608	0	
0.0513	-4.82598	-1.52972	0	
0.0520	-3.91071	-3.66715	0	
0.0527	-5.74126	-6.41227	0	
0.0533	-3.59453	-7.01996	0	
0.0540	0.981838	-4.58917	0	
0.0547	0.665653	-1.84405	0	
0.0553	-4.5098	-0.922025	0	
0.0560	-5.12553	0.607698	0	
0.0567	-4.5098	3.03849	0	
0.0573	-13.0634	3.35282	0	
0.0580	-25.5777	1.50877	0	
0.0587	-24.6624	0.90107	0	
0.0593	-11.2329	0	0	
0.0600	-1.16489	1.8231	0	
0.0607	1.89711	4.56822	0	
0.0613	4.34339	1.50877	0	
0.0620	4.94247	-3.98147	0	
0.0627	0.0665653	-1.84405	0	
0.0633	-5.12553	1.8231	0	
0.0640	-8.17089	-1.23635	0	
0.0647	-8.17089	-2.76608	0	
0.0653	-1.76398	-0.314327	0	
0.0660	4.64293	-0.922025	0	
0.0667	3.42811	-2.76608	0	
0.0673	-2.08017	-1.52972	0	
0.0680	-4.5098	0.90107	0	
0.0687	-5.12553	3.35282	0	
0.0693	-3.91071	2.74512	0	
0.0700	-2.67925	-0.628654	0	
0.0707	-5.74126	-0.628654	0	
0.0713	-11.832	2.43079	0	
0.0720	-14.894	1.8231	0	
0.0727	-13.0634	0.293372	0	
0.0733	-11.2329	2.74512	0	
0.0740	-13.0634	3.03849	0	
0.0747	-14.5778	2.74512	0	
0.0753	-11.832	6.39131	0	
0.0760	-7.87135	6.39131	0	
0.0767	-6.34034	2.74512	0	
0.0773	-5.42507	2.43079	0	
0.0780	-4.5098	3.35282	0	
0.0787	-2.37971	0.90107	0	
0.0793	2.81238	-0.922025	0	
0.0800	9.83502	-1.23635	0	
0.0807	19.2873	-0.922025	0	
0.0813	25.6942	-0.314327	0	
0.0820	27.5248	-2.76608	0	
0.0827	29.3553	-5.19687	0	
0.0833	28.7562	-2.76608	0	
0.0840	22.0331	-0.314327	0	
0.0847	18.0725	-1.23635	0	
0.0853	15.6262	0	0	
0.0860	8.91975	0.293372	0	
0.0867	7.38875	-2.45175	0	
0.0873	12.5808	0	0	
0.0880	8.30402	3.64619	0	
0.0887	-3.59453	2.74512	0	
0.0893	-11.5324	1.50877	0	
0.0900	-16.4083	2.74512	0	
0.0907	-16.7245	2.43079	0	
0.0913	-11.2329	2.43079	0	
0.0920	-9.08616	3.35282	0	
0.0927	-11.832	3.96052	0	
0.0933	-13.0634	7.01996	0	
0.0940	-14.2783	8.23536	0	
0.0947	-15.4931	5.17591	0	
0.0953	-14.5778	4.56822	0	
0.0960	-12.1482	6.39131	0	
0.0967	-8.17089	5.17591	0	
0.0973	-1.46444	4.56822	0	
0.0980	5.25866	6.09794	0	
0.0987	7.38875	3.96052	0	
0.0993	6.47348	0.293372	0	
0.1000	6.47348	0.90107	0	
0.1007	5.85775	2.74512	0	
0.1013	0.981838	2.43079	0	
0.1020	-1.16489	0.90107	0	
0.1027	5.5582	-0.922025	0	
0.1033	14.0952	-5.19687	0	
0.1040	20.8183	-11.6091	0	
0.1047	26.6095	-15.2763	0	
0.1053	25.3947	-16.4917	0	
0.1060	18.372	-19.5302	0	
0.1067	19.2873	-20.1588	0	
0.1073	26.6095	-15.5697	0	
0.1080	29.3553	-13.1389	0	
0.1087	28.7562	-13.4322	0	
0.1093	25.6942	-10.0794	0	
0.1100	17.4567	-5.19687	0	
0.1107	9.21929	-1.52972	0	
0.1113	4.64293	0.293372	0	
0.1120	0.366109	-1.23635	0	
0.1127	-8.17089	-1.23635	0	
0.1133	-16.1088	2.74512	0	
0.1140	-17.6398	3.03849	0	
0.1147	-21.3009	0.293372	0	
0.1153	-33.8152	1.8231	0	
0.1160	-44.7984	3.96052	0	
0.1167	-44.7984	3.03849	0	
0.1173	-39.0073	3.96052	0	
0.1180	-31.0694	5.49024	0	
0.1187	-22.8319	3.64619	0	
0.1193	-18.2555	1.50877	0	
0.1200	-14.894	1.50877	0	
0.1207	-10.9167	1.8231	0	
0.1213	-8.78662	1.8231	0	
0.1220	-5.74126	0.293372	0	
0.1227	0.0665653	-0.314327	0	
0.1233	3.72766	-1.52972	0	
0.1240	3.72766	-3.98147	0	
0.1247	4.0272	-3.37377	0	
0.1253	3.72766	0.293372	0	
0.1260	2.81238	0.90107	0	
0.1267	3.72766	-0.314327	0	
0.1273	2.81238	0.90107	0	
0.1280	0.981838	1.8231	0	
0.1287	2.81238	1.8231	0	
0.1293	5.5582	1.8231	0	
0.1300	4.64293	0	0	
0.1307	6.47348	-0.922025	0	
0.1313	9.51884	-0.922025	0	
0.1320	10.4341	-2.76608	0	
0.1327	11.0498	-1.84405	0	
