0.0000	8.1373	0.0151341	1
0.0007	9.35321	0.0151341	0	
0.0013	10.2752	-0.908046	0	
0.0020	10.2752	0.620498	0	
0.0027	7.52266	-0.908046	0	
0.0033	5.6921	-2.43659	0	
0.0040	5.99942	1.54368	0	
0.0047	3.55422	3.67758	0	
0.0053	-0.106894	2.14904	0	
0.0060	-1.01549	3.05709	0	
0.0067	-1.93745	5.20613	0	
0.0073	-1.93745	3.98027	0	
0.0080	2.95294	3.67758	0	
0.0087	9.66053	5.50881	0	
0.0093	9.66053	4.88831	0	
0.0100	5.99942	2.45172	0	
0.0107	7.21534	2.14904	0	
0.0113	11.1838	3.05709	0	
0.0120	10.8765	3.05709	0	
0.0127	9.35321	2.7544	0	
0.0133	9.66053	2.7544	0	
0.0140	8.1373	2.7544	0	
0.0147	5.99942	1.22586	0	
0.0153	7.82998	0.92318	0	
0.0160	8.1373	1.22586	0	
0.0167	5.6921	0.620498	0	
0.0173	5.38478	-1.21073	0	
0.0180	6.61406	-1.81609	0	
0.0187	7.21534	0.0151341	0	
0.0193	7.21534	0.92318	0	
0.0200	5.09082	-0.605364	0	
0.0207	4.47618	-3.04195	0	
0.0213	6.92138	-1.81609	0	
0.0220	6.30674	1.54368	0	
0.0227	3.2469	1.84636	0	
0.0233	2.64562	0.620498	0	
0.0240	0.200426	0.92318	0	
0.0247	-4.67661	-0.908046	0	
0.0253	-4.67661	-4.5705	0	
0.0260	-3.15337	-4.5705	0	
0.0267	-5.59857	-3.04195	0	
0.0273	-11.0902	-5.78122	0	
0.0280	-17.1965	-9.44367	0	
0.0287	-19.3344	-8.83831	0	
0.0293	-13.2281	-7.30977	0	
0.0300	-6.21321	-6.7044	0	
0.0307	-3.15337	-4.5705	0	
0.0313	0.815066	-1.81609	0	
0.0320	8.44461	0.0151341	0	
0.0327	13.9363	1.54368	0	
0.0333	14.8449	4.58563	0	
0.0340	13.0143	7.03735	0	
0.0347	10.8765	7.03735	0	
0.0353	8.1373	7.34004	0	
0.0360	1.72366	6.41686	0	
0.0367	-4.36929	1.22586	0	
0.0373	-5.90589	-3.64732	0	
0.0380	-9.25968	-4.5705	0	
0.0387	-16.2746	-4.26781	0	
0.0393	-19.0271	-3.64732	0	
0.0400	-20.5503	-4.5705	0	
0.0407	-27.5653	-10.0642	0	
0.0413	-31.5337	-13.7266	0	
0.0420	-25.7347	-9.14099	0	
0.0427	-19.3344	-3.95	0	
0.0433	-14.7514	-4.26781	0	
0.0440	-8.64504	-3.34463	0	
0.0447	-4.67661	0.0151341	0	
0.0453	-5.59857	0.92318	0	
0.0460	-6.81448	0.620498	0	
0.0467	-5.59857	0.317816	0	
0.0473	-2.24477	0.620498	0	
0.0480	2.64562	0.0151341	0	
0.0487	6.30674	0.0151341	0	
0.0493	8.1373	0.92318	0	
0.0500	9.96785	3.3749	0	
0.0507	9.96785	4.88831	0	
0.0513	9.04589	4.88831	0	
0.0520	7.21534	3.05709	0	
0.0527	6.30674	0.317816	0	
0.0533	6.61406	0.317816	0	
0.0540	9.04589	3.3749	0	
0.0547	10.8765	6.41686	0	
0.0553	10.5825	7.03735	0	
0.0560	9.66053	5.81149	0	
0.0567	8.44461	4.88831	0	
0.0573	8.75193	5.20613	0	
0.0580	9.04589	5.50881	0	
0.0587	5.6921	6.11417	0	
0.0593	-1.32281	7.03735	0	
0.0600	-4.67661	7.34004	0	
0.0607	-1.32281	8.24808	0	
0.0613	1.72366	7.64272	0	
0.0620	2.64562	4.58563	0	
0.0627	6.92138	4.58563	0	
0.0633	14.2436	8.24808	0	
0.0640	17.2901	7.64272	0	
0.0647	14.8449	2.7544	0	
0.0653	7.82998	0.620498	0	
0.0660	-1.32281	-0.908046	0	
0.0667	-5.90589	-3.64732	0	
0.0673	-3.76801	-4.87318	0	
0.0680	-2.84605	-5.17586	0	
0.0687	-4.67661	-5.17586	0	
0.0693	-5.29125	-6.40172	0	
0.0700	-6.21321	-10.0642	0	
0.0707	-8.33772	-11.5776	0	
0.0713	-4.67661	-7.00709	0	
0.0720	-1.32281	-2.43659	0	
0.0727	-6.50716	-3.34463	0	
0.0733	-9.25968	-4.87318	0	
0.0740	-0.414214	-2.73927	0	
0.0747	7.21534	0.0151341	0	
0.0753	4.47618	1.84636	0	
0.0760	-4.07533	2.7544	0	
0.0767	-11.0902	2.14904	0	
0.0773	-12.9208	2.45172	0	
0.0780	-12.9208	2.7544	0	
0.0787	-15.0587	0.0151341	0	
0.0793	-15.0587	-1.81609	0	
0.0800	-10.7829	0.0151341	0	
0.0807	-8.33772	1.84636	0	
0.0813	-8.95236	2.7544	0	
0.0820	-4.36929	3.3749	0	
0.0827	5.38478	2.45172	0	
0.0833	12.413	1.22586	0	
0.0840	18.212	2.7544	0	
0.0847	26.7502	3.05709	0	
0.0853	27.6721	2.7544	0	
0.0860	18.506	4.58563	0	
0.0867	12.1057	4.58563	0	
0.0873	12.1057	3.67758	0	
0.0880	12.1057	5.20613	0	
0.0887	12.413	7.34004	0	
0.0893	13.0143	7.34004	0	
0.0900	12.7204	7.03735	0	
0.0907	16.0742	6.71954	0	
0.0913	21.2585	7.64272	0	
0.0920	21.5658	8.86858	0	
0.0927	17.5974	5.81149	0	
0.0933	15.4595	2.45172	0	
0.0940	13.3216	4.28295	0	
0.0947	9.96785	5.50881	0	
0.0953	6.92138	2.45172	0	
0.0960	3.55422	2.45172	0	
0.0967	-1.63013	2.7544	0	
0.0973	-4.67661	-2.11877	0	
0.0980	-2.84605	-4.26781	0	
0.0987	1.41634	-0.908046	0	
0.0993	3.55422	0.0151341	0	
0.1000	3.86154	1.22586	0	
0.1007	3.55422	3.67758	0	
0.1013	2.95294	2.14904	0	
0.1020	4.47618	0.92318	0	
0.1027	5.99942	3.67758	0	
0.1033	5.38478	3.3749	0	
0.1040	7.52266	0.92318	0	
0.1047	11.7984	1.22586	0	
0.1053	11.7984	0.92318	0	
0.1060	5.99942	0.0151341	0	
0.1067	-2.84605	0.92318	0	
0.1073	-11.3976	-1.21073	0	
0.1080	-19.3344	-8.53563	0	
0.1087	-25.1334	-14.9374	0	
0.1093	-28.4872	-17.3891	0	
0.1100	-29.7031	-16.4659	0	
0.1107	-30.0105	-14.0293	0	
0.1113	-26.3493	-12.5008	0	
0.1120	-20.5503	-10.6695	0	
0.1127	-16.5819	-7.61245	0	
0.1133	-11.3976	-5.47854	0	
0.1140	-4.98393	-4.26781	0	
0.1147	-1.32281	-3.95	0	
0.1153	2.64562	-3.04195	0	
0.1160	8.1373	0.0151341	0	
0.1167	8.1373	1.54368	0	
0.1173	4.7835	-0.908046	0	
0.1180	4.16886	-0.908046	0	
0.1187	4.47618	1.84636	0	
0.1193	4.7835	1.84636	0	
0.1200	5.38478	0.92318	0	
0.1207	1.72366	0.92318	0	
0.1213	-1.01549	0.0151341	0	
0.1220	-1.93745	-1.21073	0	
0.1227	-6.50716	-0.908046	0	
0.1233	-13.8428	-2.73927	0	
0.1240	-21.165	-5.47854	0	
0.1247	-23.9041	-5.78122	0	
0.1253	-16.2746	-3.95	0	
0.1260	-2.84605	-2.43659	0	
0.1267	4.16886	-1.51341	0	
0.1273	8.1373	0.0151341	0	
0.1280	13.0143	1.84636	0	
0.1287	10.8765	2.14904	0	
0.1293	5.09082	0.0151341	0	
0.1300	5.99942	-3.34463	0	
0.1307	9.35321	-5.78122	0	
0.1313	8.75193	-4.5705	0	
0.1320	9.04589	-2.43659	0	
0.1327	12.7204	-2.11877	0	
0.1333	14.5509	-0.287548	0	
0.1340	12.7204	1.84636	0	
0.1347	13.629	1.54368	0	
0.1353	14.5509	1.84636	0	
0.1360	12.7204	1.54368	0	
0.1367	10.5825	-1.81609	0	
0.1373	9.96785	-1.81609	0	
0.1380	9.96785	0.317816	0	
0.1387	11.4911	0.317816	0	
0.1393	12.1057	0.92318	0	
