0.0000	-12.3684	-5.11329	1
0.0007	-16.6434	-3.89683	0	
0.0013	-15.122	-4.82464	0	
0.0020	-12.6727	-6.04111	0	
0.0027	-11.4556	-4.82464	0	
0.0033	-7.78921	-2.06181	0	
0.0040	-2.29721	-0.536071	0	
0.0047	4.10759	2.20614	0	
0.0053	9.5996	4.32981	0	
0.0060	11.4404	2.80406	0	
0.0067	12.3532	1.27832	0	
0.0073	13.5703	2.20614	0	
0.0080	10.5124	1.89687	0	
0.0087	5.02039	-1.46389	0	
0.0093	3.19479	-2.98963	0	
0.0100	5.32466	0.680398	0	
0.0107	6.8612	4.32981	0	
0.0113	7.16547	5.25762	0	
0.0120	8.07827	4.94835	0	
0.0127	8.6868	5.25762	0	
0.0133	9.29533	5.25762	0	
0.0140	8.07827	4.32981	0	
0.0147	4.10759	1.5876	0	
0.0153	2.282	0.680398	0	
0.0160	2.89053	0.680398	0	
0.0167	-0.167346	-1.77316	0	
0.0173	-5.96362	-3.89683	0	
0.0180	-8.09348	-4.2061	0	
0.0187	-8.39775	-5.42257	0	
0.0193	-7.48495	-5.73184	0	
0.0200	-5.05082	-4.51537	0	
0.0207	-8.09348	-6.04111	0	
0.0213	-16.0348	-8.78332	0	
0.0220	-16.6434	-6.63904	0	
0.0227	-15.122	-2.98963	0	
0.0233	-16.9476	-0.845343	0	
0.0240	-11.4556	1.5876	0	
0.0247	-2.29721	4.32981	0	
0.0253	-3.81854	5.25762	0	
0.0260	-5.96362	3.42261	0	
0.0267	-2.29721	1.27832	0	
0.0273	-0.471613	0.0618544	0	
0.0280	-4.12281	0.680398	0	
0.0287	-10.8471	0.98967	0	
0.0293	-18.1647	0.0618544	0	
0.0300	-21.5268	0.0618544	0	
0.0307	-22.4396	1.89687	0	
0.0313	-21.8311	3.11334	0	
0.0320	-14.8178	3.73188	0	
0.0327	-7.78921	2.80406	0	
0.0333	-11.1514	-0.536071	0	
0.0340	-16.0348	-2.37108	0	
0.0347	-13.8898	0.0618544	0	
0.0353	-5.96362	1.89687	0	
0.0360	9.29533	0.371126	0	
0.0367	27.0036	-1.77316	0	
0.0373	30.6548	-2.98963	0	
0.0380	20.5836	-3.89683	0	
0.0387	11.4404	-2.06181	0	
0.0393	6.55694	0.371126	0	
0.0400	3.19479	0.371126	0	
0.0407	6.8612	-1.77316	0	
0.0413	16.0044	-4.2061	0	
0.0420	19.6708	-5.73184	0	
0.0427	14.7873	-6.63904	0	
0.0433	8.6868	-6.63904	0	
0.0440	5.02039	-5.73184	0	
0.0447	2.89053	-7.25758	0	
0.0453	2.58626	-7.87612	0	
0.0460	3.19479	-5.11329	0	
0.0467	2.282	-3.2989	0	
0.0473	2.282	-2.98963	0	
0.0480	5.32466	-0.536071	0	
0.0487	6.8612	1.27832	0	
0.0493	8.6868	0.98967	0	
0.0500	12.3532	3.73188	0	
0.0507	10.5124	7.09263	0	
0.0513	5.02039	5.25762	0	
0.0520	2.89053	0.98967	0	
0.0527	-1.68868	-0.536071	0	
0.0533	-10.5428	-0.247417	0	
0.0540	-12.3684	-0.247417	0	
0.0547	-10.5428	-1.15461	0	
0.0553	-10.8471	-2.68036	0	
0.0560	-8.09348	-2.06181	0	
0.0567	-4.74655	-1.46389	0	
0.0573	-8.70201	-2.37108	0	
0.0580	-14.8178	-2.98963	0	
0.0587	-14.194	-3.2989	0	
0.0593	-9.63002	-2.68036	0	
0.0600	-7.18068	0.98967	0	
0.0607	-5.05082	1.5876	0	
0.0613	1.06493	-2.06181	0	
0.0620	7.16547	-2.68036	0	
0.0627	9.5996	1.27832	0	
0.0633	9.29533	2.80406	0	
0.0640	6.55694	1.5876	0	
0.0647	4.10759	1.27832	0	
0.0653	3.49906	2.20614	0	
0.0660	1.97773	3.11334	0	
0.0667	-0.471613	0.98967	0	
0.0673	0.441186	-1.15461	0	
0.0680	-1.08014	1.5876	0	
0.0687	-6.26788	1.89687	0	
0.0693	-8.70201	-4.82464	0	
0.0700	-8.70201	-7.56685	0	
0.0707	-8.70201	-3.89683	0	
0.0713	-5.96362	-3.89683	0	
0.0720	-3.21001	-6.63904	0	
0.0727	-6.26788	-7.25758	0	
0.0733	-11.4556	-7.87612	0	
0.0740	-12.3684	-8.78332	0	
0.0747	-12.6727	-5.73184	0	
0.0753	-14.5135	-2.06181	0	
0.0760	-14.8178	-1.77316	0	
0.0767	-11.1514	-1.15461	0	
0.0773	-7.48495	2.51541	0	
0.0780	-6.87642	4.04115	0	
0.0787	-4.12281	3.11334	0	
0.0793	4.10759	3.42261	0	
0.0800	9.90386	4.32981	0	
0.0807	12.6575	4.32981	0	
0.0813	16.0044	5.85555	0	
0.0820	15.7001	6.47409	0	
0.0827	12.3532	4.63908	0	
0.0833	13.8745	3.42261	0	
0.0840	17.8452	2.80406	0	
0.0847	17.2367	2.51541	0	
0.0853	13.8745	5.85555	0	
0.0860	12.3532	7.99983	0	
0.0867	8.07827	2.20614	0	
0.0873	0.13692	-4.82464	0	
0.0880	-5.35508	-6.35038	0	
0.0887	-6.26788	-5.42257	0	
0.0893	-6.57215	-6.35038	0	
0.0900	-5.35508	-7.87612	0	
0.0907	0.441186	-6.35038	0	
0.0913	3.19479	-1.77316	0	
0.0920	-4.74655	-0.247417	0	
0.0927	-11.4556	-1.15461	0	
0.0933	-9.63002	0.371126	0	
0.0940	-9.93429	0.98967	0	
0.0947	-19.0775	-1.46389	0	
0.0953	-27.6274	-2.06181	0	
0.0960	-27.3231	-0.247417	0	
0.0967	-22.4396	-0.247417	0	
0.0973	-23.961	-2.68036	0	
0.0980	-30.0767	-4.82464	0	
0.0987	-29.7572	-5.42257	0	
0.0993	-23.3524	-6.04111	0	
0.1000	-20.9183	-6.63904	0	
0.1007	-19.0775	-4.82464	0	
0.1013	-14.194	-3.89683	0	
0.1020	-11.7599	-7.25758	0	
0.1027	-9.31054	-8.47405	0	
0.1033	-2.90574	-3.89683	0	
0.1040	-0.471613	-2.68036	0	
0.1047	0.13692	-3.89683	0	
0.1053	12.6575	-0.247417	0	
0.1060	31.8871	4.94835	0	
0.1067	38.2919	5.56689	0	
0.1073	33.1042	4.94835	0	
0.1080	32.7999	5.85555	0	
0.1087	38.9004	6.78336	0	
0.1093	40.726	7.69056	0	
0.1100	40.726	9.2163	0	
0.1107	40.1175	9.83485	0	
0.1113	32.1914	7.69056	0	
0.1120	19.6708	4.32981	0	
0.1127	13.5703	4.04115	0	
0.1133	11.7447	3.42261	0	
0.1140	7.774	-1.77316	0	
0.1147	3.19479	-6.35038	0	
0.1153	-1.38441	-5.42257	0	
0.1160	-7.78921	-3.89683	0	
0.1167	-12.3684	-5.73184	0	
0.1173	-12.3684	-7.56685	0	
0.1180	-11.4556	-6.63904	0	
0.1187	-13.5855	-8.47405	0	
0.1193	-15.4263	-11.2163	0	
0.1200	-13.5855	-10.6183	0	
0.1207	-9.63002	-8.47405	0	
0.1213	-8.09348	-6.63904	0	
0.1220	-8.70201	-3.89683	0	
0.1227	-9.00628	-3.58755	0	
0.1233	-9.00628	-4.51537	0	
0.1240	-12.0642	-2.37108	0	
0.1247	-16.9476	0.680398	0	
0.1253	-18.469	2.51541	0	
0.1260	-16.0348	3.73188	0	
0.1267	-14.194	2.80406	0	
0.1273	-13.8898	2.20614	0	
0.1280	-13.2812	3.42261	0	
0.1287	-12.3684	2.51541	0	
0.1293	-8.39775	0.0618544	0	
0.1300	-0.167346	2.20614	0	
0.1307	4.10759	3.42261	0	
0.1313	2.282	0.98967	0	
0.1320	0.441186	0.371126	0	
0.1327	-4.12281	-1.46389	0	
0.1333	-11.4556	-5.42257	0	
0.1340	-7.78921	-4.82464	0	
0.1347	2.282	-2.06181	0	
0.1353	0.441186	-2.98963	0	
0.1360	-8.09348	-5.42257	0	
0.1367	-5.65935	-5.73184	0	
0.1373	2.58626	-5.11329	0	
0.1380	3.49906	-2.68036	0	
0.1387	-1.68868	1.27832	0	
0.1393	-4.12281	2.51541	0	
0.1400	0.13692	0.371126	0	
0.1407	7.774	-1.46389	0	
0.1413	11.4404	-0.536071	0	
0.1420	7.16547	-1.15461	0	
0.1427	-0.167346	-5.11329	0	
0.1433	-1.38441	-6.63904	0	
0.1440	0.745452	-6.63904	0	
0.1447	-0.167346	-7.56685	0	
0.1453	-3.21001	-6.63904	0	
0.1460	-4.12281	-1.77316	0	
0.1467	-3.21001	-0.247417	0	
0.1473	-1.38441	-1.46389	0	
0.1480	-1.38441	-0.845343	0	
0.1487	-2.90574	-0.536071	0	
0.1493	-5.05082	-1.15461	0	
0.1500	-5.96362	1.89687	0	
0.1507	-4.12281	3.11334	0	
0.1513	1.3692	-1.15461	0	
0.1520	5.02039	-4.2061	0	
0.1527	0.745452	-0.536071	0	
0.1533	-3.21001	3.42261	0	
0.1540	-2.60148	3.42261	0	
0.1547	-2.60148	4.32981	0	
0.1553	-6.26788	7.09263	0	
0.1560	-7.48495	5.25762	0	
0.1567	-3.21001	0.680398	0	
0.1573	3.49906	-0.247417	0	
0.1580	8.6868	1.27832	0	
0.1587	8.99106	2.20614	0	
0.1593	5.32466	1.89687	0	
0.1600	2.282	2.20614	0	
0.1607	5.93319	4.32981	0	
0.1613	12.3532	4.94835	0	
0.1620	11.7447	2.80406	0	
0.1627	4.71613	3.42261	0	
0.1633	0.13692	5.56689	0	
0.1640	-1.38441	5.25762	0	
0.1647	-3.81854	4.32981	0	
0.1653	-4.44229	4.94835	0	
0.1660	-5.05082	0.98967	0	
0.1667	-9.31054	-3.2989	0	
0.1673	-15.122	-2.37108	0	
0.1680	-20.614	-1.15461	0	
0.1687	-23.6567	-1.77316	0	
0.1693	-17.2519	-0.845343	0	
0.1700	-6.26788	0.680398	0	
0.1707	-3.21001	-1.15461	0	
0.1713	-1.38441	-1.77316	0	
0.1720	5.02039	-0.536071	0	
0.1727	6.25267	-1.15461	0	
0.1733	3.80333	-1.46389	0	
0.1740	5.93319	1.5876	0	
0.1747	8.6868	3.42261	0	
0.1753	7.46973	0.680398	0	
0.1760	4.10759	-0.845343	0	
0.1767	-0.167346	0.98967	0	
0.1773	-4.44229	0.680398	0	
0.1780	-7.48495	-1.15461	0	
0.1787	-10.5428	0.371126	0	
0.1793	-13.2812	3.73188	0	
0.1800	-10.8471	4.94835	0	
0.1807	-4.12281	3.42261	0	
0.1813	3.19479	1.5876	0	
0.1820	8.99106	2.80406	0	
0.1827	10.5124	4.63908	0	
0.1833	4.10759	1.5876	0	
0.1840	-9.93429	-2.68036	0	
0.1847	-16.9476	-3.2989	0	
0.1853	-10.5428	-0.536071	0	
0.1860	-2.90574	2.51541	0	
0.1867	-1.68868	3.11334	0	
0.1873	-4.12281	1.5876	0	
0.1880	-5.05082	2.51541	0	
0.1887	-2.29721	6.16482	0	
0.1893	1.67346	7.09263	0	
0.1900	9.5996	4.94835	0	
0.1907	24.25	3.73188	0	
0.1913	37.9876	5.25762	0	
0.1920	39.8132	7.38129	0	
0.1927	33.1042	7.69056	0	
0.1933	27.3079	6.16482	0	
0.1940	21.5116	5.56689	0	
0.1947	13.5703	3.42261	0	
0.1953	7.774	-0.536071	0	
0.1960	5.62892	-1.15461	0	
0.1967	1.3692	-0.247417	0	
0.1973	-7.78921	-4.82464	0	
0.1980	-16.0348	-8.47405	0	
0.1987	-18.7732	-5.11329	0	
0.1993	-20.614	-3.89683	0	
0.2000	-21.2226	-6.35038	0	
0.2007	-14.194	-4.51537	0	
0.2013	-4.74655	-0.845343	0	
0.2020	-1.68868	-2.37108	0	
0.2027	0.441186	-3.58755	0	
0.2033	5.93319	-2.06181	0	
0.2040	5.93319	-3.89683	0	
0.2047	-0.471613	-5.73184	0	
0.2053	-6.26788	-5.11329	0	
0.2060	-10.5428	-7.56685	0	
0.2067	-11.1514	-9.69052	0	
0.2073	-8.09348	-7.25758	0	
0.2080	-6.87642	-3.89683	0	
0.2087	-5.35508	-3.2989	0	
0.2093	0.441186	-3.2989	0	
0.2100	3.19479	-2.98963	0	
0.2107	-1.08014	-1.46389	0	
0.2113	-3.81854	-1.15461	0	
0.2120	-4.74655	-2.37108	0	
0.2127	-8.70201	-1.46389	0	
0.2133	-11.7599	0.680398	0	
0.2140	-15.122	-1.15461	0	
0.2147	-19.7012	-3.89683	0	
0.2153	-20.9183	-3.89683	0	
0.2160	-20.614	-2.68036	0	
0.2167	-22.4396	-3.89683	0	
0.2173	-20.9183	-6.63904	0	
0.2180	-15.7306	-6.35038	0	
0.2187	-12.3684	-2.68036	0	
0.2193	-8.39775	-0.536071	0	
0.2200	-0.775879	-0.536071	0	
0.2207	2.282	0.680398	0	
0.2213	1.97773	1.5876	0	
0.2220	5.93319	1.27832	0	
0.2227	9.29533	3.42261	0	
0.2233	8.38253	5.85555	0	
0.2240	11.1361	4.32981	0	
0.2247	17.8452	6.16482	0	
0.2253	19.3665	10.742	0	
0.2260	19.6708	10.1441	0	
0.2267	21.8159	6.16482	0	
0.2273	17.8452	6.78336	0	
0.2280	10.8167	8.3091	0	
0.2287	9.29533	6.78336	0	
0.2293	8.6868	4.04115	0	
0.2300	6.8612	2.80406	0	
0.2307	4.71613	5.25762	0	
0.2313	-1.38441	7.99983	0	
0.2320	-5.05082	6.47409	0	
0.2327	-1.08014	5.25762	0	
0.2333	2.58626	7.09263	0	
0.2340	3.19479	5.25762	0	
0.2347	5.32466	-0.536071	0	
0.2353	1.3692	-2.98963	0	
0.2360	-10.8471	-2.06181	0	
0.2367	-17.8604	-2.98963	0	
0.2373	-15.4263	-6.04111	0	
0.2380	-5.96362	-6.94831	0	
0.2387	8.6868	-2.98963	0	
0.2393	12.9617	0.0618544	0	
0.2400	-0.167346	-4.51537	0	
0.2407	-9.31054	-10.9276	0	
0.2413	-5.96362	-9.69052	0	
0.2420	-5.96362	-6.63904	0	
0.2427	-11.1514	-7.25758	0	
0.2433	-11.4556	-6.04111	0	
0.2440	-9.63002	-3.58755	0	
0.2447	-5.35508	-2.37108	0	
0.2453	2.282	-1.46389	0	
0.2460	3.49906	-0.536071	0	
0.2467	1.06493	-0.247417	0	
0.2473	7.46973	0.680398	0	
0.2480	12.6575	2.51541	0	
0.2487	7.16547	3.73188	0	
0.2493	5.93319	4.94835	0	
0.2500	14.4831	7.09263	0	
0.2507	18.758	9.52557	0	
0.2513	22.1201	8.3091	0	
0.2520	32.4956	4.32981	0	
0.2527	32.1914	2.51541	0	
0.2533	13.8745	2.51541	0	
0.2540	-2.90574	-1.46389	0	
0.2547	-8.70201	-6.04111	0	
0.2553	-13.2812	-7.25758	0	
0.2560	-18.1647	-6.94831	0	
0.2567	-20.614	-4.51537	0	
0.2573	-22.4396	-0.536071	0	
0.2580	-22.4396	-0.247417	0	
0.2587	-18.7732	-1.46389	0	
0.2593	-13.5855	-1.15461	0	
0.2600	-9.00628	0.371126	0	
0.2607	-5.05082	0.98967	0	
0.2613	-1.08014	-1.77316	0	
0.2620	3.80333	-6.04111	0	
0.2627	8.6868	-4.82464	0	
0.2633	10.5124	1.27832	0	
0.2640	8.38253	3.11334	0	
0.2647	5.02039	-0.536071	0	
0.2653	5.62892	-1.46389	0	
0.2660	9.5996	1.89687	0	
0.2667	12.9617	3.73188	0	
0.2673	11.7447	1.89687	0	
0.2680	8.38253	1.5876	0	
0.2687	4.10759	3.11334	0	
0.2693	1.3692	0.680398	0	
0.2700	1.67346	-2.98963	0	
0.2707	4.10759	-1.15461	0	
0.2713	5.93319	1.5876	0	
0.2720	5.02039	-1.46389	0	
0.2727	-1.99294	-4.51537	0	
0.2733	-10.2386	-2.98963	0	
0.2740	-12.3684	-2.98963	0	
0.2747	-13.2812	-4.51537	0	
0.2753	-18.1647	-3.89683	0	
0.2760	-20.9183	-4.51537	0	
0.2767	-16.0348	-7.56685	0	
0.2773	-10.2386	-6.63904	0	
0.2780	-10.5428	-2.06181	0	
0.2787	-14.8178	-2.37108	0	
