0.0000	-4.80528	1.71117	1
0.0007	-2.07124	0.479961	0	
0.0013	-1.46368	-2.8589	0	
0.0020	-3.28637	-2.25373	0	
0.0027	-9.38962	0.79298	0	
0.0033	-17.9507	1.71117	0	
0.0040	-20.9886	1.39815	0	
0.0047	-14.8853	1.39815	0	
0.0053	-7.56693	-0.125207	0	
0.0060	-3.89393	-1.33554	0	
0.0067	-1.46368	-1.04339	0	
0.0073	0.359015	-1.64856	0	
0.0080	-0.248549	-1.96158	0	
0.0087	1.29798	-0.125207	0	
0.0093	6.46227	-0.730376	0	
0.0100	9.83148	-3.77709	0	
0.0107	8.31258	-3.77709	0	
0.0113	7.09745	-1.04339	0	
0.0120	8.61636	-2.56675	0	
0.0127	8.31258	-6.21863	0	
0.0133	5.8547	-5.61346	0	
0.0140	6.15849	-1.64856	0	
0.0147	8.00879	-1.64856	0	
0.0153	6.76605	-4.69527	0	
0.0160	5.24714	-4.40312	0	
0.0167	6.15849	-1.33554	0	
0.0173	6.15849	-1.64856	0	
0.0180	3.72823	-1.96158	0	
0.0187	2.20932	0.479961	0	
0.0193	0.662797	-1.96158	0	
0.0200	-0.552331	-8.055	0	
0.0207	-0.248549	-7.44984	0	
0.0213	-2.37502	-1.04339	0	
0.0220	-5.13667	1.39815	0	
0.0227	-4.80528	-0.417358	0	
0.0233	-4.80528	-2.25373	0	
0.0240	-6.04802	-1.96158	0	
0.0247	-3.28637	0.479961	0	
0.0253	-0.248549	2.02419	0	
0.0260	-5.44046	0.187811	0	
0.0267	-12.7588	-1.33554	0	
0.0273	-14.8853	0.187811	0	
0.0280	-15.1891	2.62935	0	
0.0287	-17.0118	2.9215	0	
0.0293	-15.7967	2.62935	0	
0.0300	-13.0626	2.02419	0	
0.0307	-13.0626	2.02419	0	
0.0313	-11.5437	3.54754	0	
0.0320	-7.87071	4.46573	0	
0.0327	-4.50149	2.9215	0	
0.0333	-1.76746	2.31634	0	
0.0340	-1.76746	3.23452	0	
0.0347	-7.87071	3.23452	0	
0.0353	-11.5437	2.62935	0	
0.0360	-8.17449	2.62935	0	
0.0367	-5.13667	-0.125207	0	
0.0373	-4.80528	-3.77709	0	
0.0380	-2.07124	-3.48494	0	
0.0387	2.20932	-5.30044	0	
0.0393	7.09745	-9.28621	0	
0.0400	11.6542	-9.57836	0	
0.0407	11.6542	-7.13682	0	
0.0413	11.0466	-6.53165	0	
