0.0000	-8.61703	1.10666	1
0.0007	-16.8523	3.24367	0	
0.0013	-18.0521	-1.64091	0	
0.0020	-22.6333	-3.16735	0	
0.0027	-22.0334	-1.64091	0	
0.0033	-12.871	-1.33563	0	
0.0040	-8.88972	2.32781	0	
0.0047	-11.9439	6.60182	0	
0.0053	-9.21695	5.38067	0	
0.0060	-0.654458	1.71724	0	
0.0067	0.872611	0.190804	0	
0.0073	-3.10868	0.190804	0	
0.0080	-2.50876	0.190804	0	
0.0087	2.39968	-1.33563	0	
0.0093	2.67237	-1.9462	0	
0.0100	-3.4359	-0.725055	0	
0.0107	-8.88972	-0.114482	0	
0.0113	-8.88972	0.801377	0	
0.0120	-4.63574	-0.725055	0	
0.0127	-2.78145	-4.38849	0	
0.0133	-2.78145	-2.55677	0	
0.0140	-2.18153	4.7701	0	
0.0147	-1.90884	6.60182	0	
0.0153	-2.18153	4.7701	0	
0.0160	-2.78145	2.93838	0	
0.0167	-4.63574	-1.03034	0	
0.0173	-3.7086	-0.419769	0	
0.0180	2.67237	7.82297	0	
0.0187	6.05374	10.5705	0	
0.0193	1.79976	6.60182	0	
0.0200	3.32683	5.07539	0	
0.0207	10.035	-0.114482	0	
0.0213	11.5621	-12.0207	0	
0.0220	11.2349	-19.6528	0	
0.0227	13.6891	-19.6528	0	
0.0233	12.162	-14.4629	0	
0.0240	6.65366	-6.83078	0	
0.0247	-0.381767	-5.30435	0	
0.0253	-8.61703	-8.05193	0	
0.0260	-12.2711	-4.69378	0	
0.0267	-9.21695	-1.03034	0	
0.0273	-5.83558	-5.30435	0	
0.0280	-3.10868	-10.4942	0	
0.0287	1.1453	-10.7995	0	
0.0293	4.52667	-7.74664	0	
0.0300	4.52667	-3.77792	0	
0.0307	0.872611	-3.47263	0	
0.0313	-1.90884	-5.91493	0	
0.0320	-0.654458	-7.13607	0	
0.0327	4.19944	-7.44136	0	
0.0333	9.70779	-6.5255	0	
0.0340	15.4888	-3.77792	0	
0.0347	19.7974	-2.55677	0	
0.0353	22.8515	-4.08321	0	
0.0360	24.0513	-4.08321	0	
0.0367	19.1429	-3.16735	0	
0.0373	10.3077	-0.725055	0	
0.0380	3.59952	4.7701	0	
0.0387	-1.90884	5.07539	0	
0.0393	-8.2898	-2.55677	0	
0.0400	-10.744	-5.60964	0	
0.0407	-8.2898	-2.86206	0	
0.0413	-7.68988	-2.55677	0	
0.0420	-10.1441	-1.9462	0	
0.0427	-13.7982	1.41195	0	
0.0433	-17.4522	1.10666	0	
0.0440	-17.7794	-1.03034	0	
0.0447	-12.871	0.190804	0	
0.0453	-8.2898	0.801377	0	
0.0460	-8.2898	-0.114482	0	
0.0467	-8.01711	1.41195	0	
0.0473	-3.10868	4.15953	0	
0.0480	1.79976	6.29653	0	
0.0487	1.79976	6.60182	0	
0.0493	-0.0545382	2.32781	0	
0.0500	-1.25438	-1.64091	0	
0.0507	-0.0545382	-0.114482	0	
0.0513	1.79976	3.24367	0	
0.0520	0.872611	3.85424	0	
0.0527	-0.981687	2.93838	0	
0.0533	-3.10868	-1.33563	0	
