0.0000	33.0738	3.87457	1
0.0007	14.4594	5.10531	0	
0.0013	-5.3738	6.33606	0	
0.0020	-30.0822	4.78623	0	
0.0027	-47.2008	3.55549	0	
0.0033	-46.8684	4.46715	0	
0.0040	-37.4504	3.87457	0	
0.0047	-32.5198	3.55549	0	
0.0053	-33.794	5.69789	0	
0.0060	-32.2428	5.37881	0	
0.0067	-25.8164	1.73216	0	
0.0073	-18.836	0.227916	0	
0.0080	-9.63961	0.820497	0	
0.0087	-1.7174	2.05124	0	
0.0093	-2.0498	3.55549	0	
0.0100	-2.6592	3.55549	0	
0.0107	6.5372	3.87457	0	
0.0113	14.7364	6.60956	0	
0.0120	12.0218	5.69789	0	
0.0127	2.216	3.87457	0	
0.0133	-6.5926	4.78623	0	
0.0140	-10.249	4.19365	0	
0.0147	-6.3156	2.05124	0	
0.0153	4.0996	2.37032	0	
0.0160	15.3458	3.28199	0	
0.0167	26.3704	3.55549	0	
0.0173	39.5002	5.10531	0	
0.0180	48.6412	6.60956	0	
0.0187	48.0318	6.60956	0	
0.0193	38.5584	6.60956	0	
0.0200	24.5422	4.78623	0	
0.0207	12.2988	2.9629	0	
0.0213	4.986	2.05124	0	
0.0220	-8.75321	-0.683747	0	
0.0227	-32.5198	-3.14524	0	
0.0233	-44.1538	-1.91449	0	
0.0240	-37.4504	0.227916	0	
0.0247	-28.5864	1.41308	0	
0.0253	-21.2736	2.9629	0	
0.0260	-12.4096	3.87457	0	
0.0267	-9.97201	3.87457	0	
0.0273	-12.4096	2.64382	0	
0.0280	-14.2378	1.41308	0	
0.0287	-17.8942	1.73216	0	
0.0293	-20.6642	3.55549	0	
0.0300	-20.9412	6.01698	0	
0.0307	-23.9882	9.07105	0	
0.0313	-21.2736	12.3986	0	
0.0320	-5.7062	11.2135	0	
0.0327	8.64241	1.13958	0	
0.0333	11.4124	-9.84596	0	
0.0340	10.1936	-11.0767	0	
0.0347	9.86121	-4.37598	0	
0.0353	8.36541	0.501415	0	
0.0360	5.9278	1.73216	0	
0.0367	5.3184	2.05124	0	
0.0373	10.4706	2.64382	0	
0.0380	19.3346	3.87457	0	
0.0387	26.6474	2.9629	0	
0.0393	34.902	0.501415	0	
0.0400	42.2148	-0.683747	0	
0.0407	33.0738	0.501415	0	
0.0413	4.709	1.13958	0	
0.0420	-17.2848	-1.00283	0	
0.0427	-20.9412	-4.37598	0	
0.0433	-19.7224	-4.0569	0	
0.0440	-21.883	0.227916	0	
0.0447	-22.16	1.41308	0	
0.0453	-19.113	-1.00283	0	
0.0460	-14.5148	-0.683747	0	
0.0467	-10.8584	1.41308	0	
0.0473	-11.1908	-1.32191	0	
0.0480	-8.42081	-3.14524	0	
0.0487	0.7202	0.501415	0	
0.0493	5.9278	2.64382	0	
0.0500	8.03301	0.227916	0	
0.0507	15.9552	-1.00283	0	
0.0513	21.1628	-1.64099	0	
0.0520	16.5646	-4.37598	0	
0.0527	14.127	-4.96856	0	
0.0533	15.6782	-3.46432	0	
0.0540	8.03301	-3.46432	0	
0.0547	-7.5344	-3.46432	0	
0.0553	-17.2848	-1.64099	0	
0.0560	-15.789	-0.683747	0	
0.0567	-9.36261	-1.00283	0	
0.0573	-1.108	-3.46432	0	
0.0580	6.8142	-6.51839	0	
0.0587	12.2988	-5.60673	0	
0.0593	21.1628	-2.82616	0	
0.0600	36.7302	-3.46432	0	
0.0607	42.5472	-3.73782	0	
0.0613	28.1986	-1.64099	0	
0.0620	11.4124	-1.00283	0	
0.0627	0.997201	-1.00283	0	
0.0633	-15.4566	-0.410248	0	
0.0640	-33.794	-1.64099	0	
0.0647	-32.8522	-1.64099	0	
0.0653	-17.8942	-0.410248	0	
0.0660	-11.8002	-1.00283	0	
0.0667	-20.0548	-0.683747	0	
0.0673	-28.254	2.05124	0	
0.0680	-25.207	2.05124	0	
0.0687	-16.066	-1.64099	0	
0.0693	-13.6284	-1.91449	0	
0.0700	-19.7224	-0.683747	0	
0.0707	-23.3788	-1.91449	0	
0.0713	-15.4566	-2.55266	0	
0.0720	-0.831001	-1.32191	0	
0.0727	12.0218	-2.23357	0	
0.0733	23.3234	-4.37598	0	
0.0740	34.5696	-3.14524	0	
0.0747	35.7884	-2.23357	0	
0.0753	21.1628	-3.46432	0	
0.0760	2.8808	-2.55266	0	
0.0767	-10.8584	-0.683747	0	
0.0773	-21.2736	-2.23357	0	
0.0780	-23.7112	-2.82616	0	
0.0787	-15.4566	-2.55266	0	
0.0793	-4.4874	-3.46432	0	
0.0800	2.5484	-2.23357	0	
0.0807	7.4236	-1.32191	0	
0.0813	9.58421	-3.46432	0	
0.0820	7.1466	-3.14524	0	
0.0827	3.7672	-2.23357	0	
0.0833	4.709	-5.28765	0	
0.0840	7.4236	-4.64948	0	
0.0847	12.0218	-0.410248	0	
0.0853	22.1046	-0.683747	0	
0.0860	33.0738	-2.82616	0	
0.0867	39.7772	-1.32191	0	
0.0873	42.5472	-0.410248	0	
0.0880	33.0738	-1.64099	0	
0.0887	6.5372	-0.683747	0	
0.0893	-15.4566	-0.410248	0	
0.0900	-14.8472	-2.82616	0	
0.0907	-5.9832	-4.37598	0	
0.0913	-3.5456	-2.82616	0	
0.0920	-4.7644	-2.55266	0	
0.0927	-8.14381	-4.37598	0	
0.0933	-17.2848	-5.60673	0	
0.0940	-27.3676	-4.37598	0	
0.0947	-28.5864	-2.55266	0	
0.0953	-22.16	-1.00283	0	
0.0960	-20.6642	-0.410248	0	
0.0967	-22.4924	-1.64099	0	
0.0973	-14.5148	-5.28765	0	
0.0980	-3.878	-5.28765	0	
0.0987	-4.7644	1.41308	0	
0.0993	-9.03021	8.43288	0	
0.1000	-3.5456	8.43288	0	
0.1007	2.5484	2.37032	0	
0.1013	0.7202	-7.43005	0	
0.1020	-4.4874	-15.635	0	
0.1027	-7.5344	-11.9884	0	
0.1033	-8.42081	-1.91449	0	
0.1040	-12.6866	-1.00283	0	
0.1047	-20.9412	-4.0569	0	
0.1053	-22.7694	-0.410248	0	
0.1060	-17.8942	2.05124	0	
