0.0000	30.2635	-15.713	1
0.0007	32.4142	-16.0311	0	
0.0013	41.8363	-15.713	0	
0.0020	48.2884	-14.7588	0	
0.0027	42.758	-12.6594	0	
0.0033	33.3359	-10.1785	0	
0.0040	31.4925	-8.07914	0	
0.0047	33.0287	-6.87045	0	
0.0053	32.4142	-6.2343	0	
0.0060	31.1852	-4.70753	0	
0.0067	32.1069	-2.54461	0	
0.0073	30.878	-2.54461	0	
0.0080	22.3264	-1.654	0	
0.0087	10.4463	1.97207	0	
0.0093	9.52455	2.29015	0	
0.0100	20.4829	1.97207	0	
0.0107	31.7997	5.34369	0	
0.0113	44.2943	7.50661	0	
0.0120	58.9395	7.18853	0	
0.0127	65.9549	8.7153	0	
0.0133	60.783	9.35145	0	
0.0140	52.8459	6.87045	0	
0.0147	43.987	8.07914	0	
0.0153	29.649	12.0869	0	
0.0160	13.7747	12.0869	0	
0.0167	0.665694	10.8782	0	
0.0173	-11.5216	12.405	0	
0.0180	-21.3022	12.9775	0	
0.0187	-25.9109	10.8782	0	
0.0193	-27.3959	10.2421	0	
0.0200	-24.0674	13.2956	0	
0.0207	-14.2868	14.8224	0	
0.0213	-8.19316	15.713	0	
0.0220	-7.27143	19.4027	0	
0.0227	2.50915	21.2475	0	
0.0233	14.6965	18.194	0	
0.0240	9.2173	16.6672	0	
0.0247	-6.04245	17.5578	0	
0.0253	-19.4588	16.0311	0	
0.0260	-33.5407	16.6672	0	
0.0267	-32.619	17.8759	0	
0.0273	-10.0366	14.5043	0	
0.0280	10.7535	12.6594	0	
0.0287	19.5612	14.8224	0	
0.0293	23.2481	11.4508	0	
0.0300	20.4829	4.77115	0	
0.0307	18.6906	4.45307	0	
0.0313	18.6906	7.50661	0	
0.0320	5.22314	11.7688	0	
0.0327	-12.4434	18.5121	0	
0.0333	-11.2656	21.5656	0	
0.0340	-0.870523	17.5578	0	
0.0347	11.624	13.9318	0	
0.0353	37.8934	12.6594	0	
0.0360	63.5482	8.39722	0	
0.0367	70.2563	0.763384	0	
0.0373	70.8708	-5.91622	0	
0.0380	71.7925	-13.5501	0	
0.0387	62.012	-19.9752	0	
0.0393	51.6169	-14.5043	0	
0.0400	54.3821	-2.86269	0	
0.0407	49.4662	-3.49884	0	
0.0413	22.3264	-13.232	0	
0.0420	-3.32847	-14.7588	0	
