0.0000	-6.75597	-2.60629	1
0.0007	-4.62251	-3.80919	0	
0.0013	0.296315	-4.41064	0	
0.0020	8.83017	-5.31281	0	
0.0027	17.6603	-5.01209	0	
0.0033	21.9273	-3.20774	0	
0.0040	17.9567	-1.35326	0	
0.0047	11.8526	-0.751813	0	
0.0053	10.371	-2.60629	0	
0.0060	7.58565	-3.80919	0	
0.0067	0.888944	-3.20774	0	
0.0073	-4.91882	-3.20774	0	
0.0080	-7.3486	-2.60629	0	
0.0087	-10.134	0.150363	0	
0.0093	-17.127	1.40338	0	
0.0100	-22.9347	1.05254	0	
0.0107	-15.5861	2.30556	0	
0.0113	3.31872	2.90701	0	
0.0120	18.253	1.05254	0	
0.0127	27.4387	-0.751813	0	
0.0133	34.4317	-1.05254	0	
0.0140	31.7057	-0.451088	0	
0.0147	20.0901	1.40338	0	
0.0153	6.04482	2.30556	0	
0.0160	-12.2674	0.751813	0	
0.0167	-24.7719	-1.05254	0	
0.0173	-15.8825	-1.65399	0	
0.0180	-0.0592629	-1.65399	0	
0.0187	1.77789	0.451088	0	
0.0193	-3.37799	3.20774	0	
0.0200	-6.75597	2.00484	0	
0.0207	-7.64491	-0.751813	0	
0.0213	-0.948206	0.751813	0	
0.0220	10.9636	2.00484	0	
0.0227	13.6897	1.40338	0	
0.0233	7.88197	2.30556	0	
0.0240	4.85956	2.60629	0	
0.0247	-2.78536	1.05254	0	
0.0253	-27.498	1.05254	0	
0.0260	-53.1588	1.70411	0	
0.0267	-55.8849	1.40338	0	
0.0273	-42.1359	1.05254	0	
0.0280	-29.3351	-0.751813	0	
0.0287	-17.127	-0.751813	0	
0.0293	-5.51145	2.00484	0	
0.0300	5.45219	2.00484	0	
0.0307	19.4975	1.05254	0	
0.0313	29.2759	3.20774	0	
0.0320	26.4905	1.40338	0	
0.0327	22.5199	-2.60629	0	
0.0333	17.364	0.451088	0	
0.0340	-2.19273	4.10991	0	
0.0347	-23.5274	2.60629	0	
0.0353	-25.0682	3.20774	0	
0.0360	-17.7196	5.06221	0	
0.0367	-14.6972	3.80919	0	
0.0373	-11.3192	3.80919	0	
0.0380	-9.18575	4.76148	0	
0.0387	-11.3192	2.90701	0	
0.0393	-8.29681	2.00484	0	
0.0400	-2.48904	2.90701	0	
0.0407	-3.6743	2.00484	0	
0.0413	-4.62251	-0.451088	0	
0.0420	-0.355577	0.150363	0	
0.0427	0.296315	3.50846	0	
0.0433	-1.24452	4.10991	0	
0.0440	0.888944	2.00484	0	
0.0447	4.26693	2.90701	0	
0.0453	4.56324	4.10991	0	
0.0460	3.02241	0.751813	0	
0.0467	3.61504	-0.751813	0	
0.0473	12.1489	2.90701	0	
0.0480	22.8755	2.60629	0	
0.0487	29.5722	-0.751813	0	
0.0493	37.5134	-0.751813	0	
0.0500	43.9138	-0.751813	0	
0.0507	41.484	-3.20774	0	
0.0513	35.6763	-2.30556	0	
0.0520	28.9796	0.150363	0	
0.0527	16.1195	-1.05254	0	
0.0533	0.888944	-2.60629	0	
0.0540	-9.18575	-1.95471	0	
0.0547	-17.7196	-0.150363	0	
0.0553	-27.498	1.05254	0	
0.0560	-33.3058	-0.751813	0	
0.0567	-32.7131	-3.80919	0	
0.0573	-27.7943	-3.50846	0	
0.0580	-19.2604	-1.65399	0	
0.0587	-6.16334	-1.65399	0	
0.0593	12.8008	-0.751813	0	
0.0600	30.4611	0.751813	0	
0.0607	37.2171	0.751813	0	
0.0613	34.4317	0.150363	0	
0.0620	29.8685	-1.35326	0	
0.0627	14.6379	-3.50846	0	
0.0633	-16.1788	-3.50846	0	
0.0640	-39.4098	-2.60629	0	
0.0647	-38.4616	-4.10991	0	
0.0653	-29.3351	-4.41064	0	
0.0660	-20.1494	-1.65399	0	
0.0667	-6.16334	-2.30556	0	
0.0673	11.8526	-5.31281	0	
0.0680	26.8461	-4.10991	0	
0.0687	32.002	-1.65399	0	
0.0693	22.5199	-2.60629	0	
0.0700	6.69671	-1.65399	0	
0.0707	-11.3192	1.70411	0	
0.0713	-35.1429	1.70411	0	
0.0720	-52.8032	1.05254	0	
0.0727	-53.1588	2.90701	0	
0.0733	-46.4029	2.00484	0	
0.0740	-33.8984	-1.05254	0	
0.0747	-11.0229	-2.90701	0	
0.0753	10.6673	-3.50846	0	
0.0760	23.4681	-1.65399	0	
0.0767	30.1648	0.451088	0	
0.0773	26.1942	0.150363	0	
0.0780	8.83017	0.150363	0	
0.0787	-14.9935	1.05254	0	
0.0793	-35.4392	-1.05254	0	
0.0800	-40.2988	-1.35326	0	
0.0807	-27.498	1.05254	0	
0.0813	-13.749	-1.05254	0	
0.0820	-10.134	-1.95471	0	
0.0827	-9.18575	2.00484	0	
0.0833	-4.62251	1.40338	0	
0.0840	-1.83715	-2.60629	0	
0.0847	-2.78536	-0.751813	0	
0.0853	-1.54084	2.00484	0	
0.0860	2.42978	1.40338	0	
0.0867	5.15587	-0.451088	0	
0.0873	3.91135	-1.65399	0	
0.0880	2.42978	-1.95471	0	
0.0887	6.40039	-2.90701	0	
0.0893	16.4751	-4.10991	0	
0.0900	24.3571	-1.65399	0	
0.0907	25.6016	1.40338	0	
0.0913	25.3053	-0.150363	0	
0.0920	22.8755	-2.90701	0	
0.0927	18.253	-3.20774	0	
0.0933	17.364	-2.60629	0	
0.0940	20.0901	-1.05254	0	
0.0947	20.742	0.150363	0	
0.0953	19.2012	-1.65399	0	
0.0960	11.5563	-3.50846	0	
0.0967	-5.80776	-3.20774	0	
0.0973	-20.1494	-3.80919	0	
0.0980	-21.9865	-2.60629	0	
0.0987	-14.0453	-0.451088	0	
0.0993	-2.78536	-1.65399	0	
0.1000	3.31872	-2.60629	0	
0.1007	3.31872	0.751813	0	
0.1013	7.58565	1.70411	0	
0.1020	11.8526	-0.451088	0	
0.1027	5.7485	-1.05254	0	
0.1033	-0.0592629	-1.65399	0	
0.1040	1.18526	-3.20774	0	
0.1047	0.888944	-3.80919	0	
0.1053	-2.78536	-1.65399	0	
0.1060	-7.64491	0.150363	0	
0.1067	-12.2674	-1.05254	0	
0.1073	-11.9118	-2.60629	0	
0.1080	-8.59312	0.150363	0	
0.1087	-6.45966	1.70411	0	
0.1093	-0.948206	0.150363	0	
0.1100	11.5563	0.751813	0	
0.1107	29.5722	2.00484	0	
0.1113	48.1807	1.05254	0	
0.1120	60.0926	3.50846	0	
0.1127	64.6558	5.36294	0	
0.1133	57.0109	2.60629	0	
0.1140	24.3571	1.70411	0	
0.1147	-19.5568	3.50846	0	
0.1153	-41.247	2.90701	0	
0.1160	-37.5727	3.80919	0	
0.1167	-26.9054	6.56584	0	
0.1173	-19.2604	6.26511	0	
0.1180	-17.4233	4.76148	0	
0.1187	-16.8307	4.10991	0	
0.1193	-14.9935	1.70411	0	
0.1200	-15.8825	2.30556	0	
0.1207	-17.7196	5.66366	0	
0.1213	-16.1788	4.76148	0	
0.1220	-13.749	1.70411	0	
0.1227	-9.77838	0.150363	0	
0.1233	-3.6743	-0.751813	0	
0.1240	-0.948206	-1.65399	0	
0.1247	3.31872	-1.35326	0	
0.1253	11.8526	-0.751813	0	
0.1260	14.6379	-1.65399	0	
0.1267	7.58565	-3.50846	0	
0.1273	-2.19273	-4.41064	0	
0.1280	-8.88944	-2.30556	0	
0.1287	-10.134	-0.150363	0	
0.1293	-8.29681	-1.35326	0	
0.1300	-11.0229	-2.60629	0	
0.1307	-15.8825	-1.95471	0	
0.1313	-18.6678	-1.65399	0	
0.1320	-19.8531	-1.95471	0	
0.1327	-15.8825	-0.751813	0	
0.1333	-0.948206	-0.150363	0	
0.1340	18.253	-2.60629	0	
0.1347	28.0314	-5.01209	0	
0.1353	25.3053	-4.10991	0	
0.1360	10.9636	-1.05254	0	
0.1367	-14.4009	1.05254	0	
0.1373	-37.5727	-0.150363	0	
0.1380	-42.4322	-3.50846	0	
0.1387	-29.3351	-3.20774	0	
0.1393	-13.749	-1.95471	0	
0.1400	-5.21514	-5.61354	0	
0.1407	0.296315	-9.32249	0	
0.1413	3.31872	-7.46801	0	
0.1420	3.61504	-5.01209	0	
0.1427	5.45219	-4.41064	0	
0.1433	9.4228	-4.41064	0	
0.1440	11.8526	-4.41064	0	
0.1447	8.83017	-4.10991	0	
0.1453	-0.0592629	-5.01209	0	
0.1460	-13.749	-6.26511	0	
0.1467	-25.9572	-5.01209	0	
0.1473	-27.7943	-3.20774	0	
0.1480	-20.505	-5.31281	0	
0.1487	-17.127	-7.16729	0	
0.1493	-19.5568	-4.41064	0	
0.1500	-18.9641	-2.30556	0	
0.1507	-13.749	-2.60629	0	
0.1513	-2.78536	-2.90701	0	
0.1520	19.4975	-2.30556	0	
0.1527	41.484	-2.30556	0	
0.1533	53.9885	-1.95471	0	
0.1540	62.226	-1.05254	0	
0.1547	55.1738	-0.150363	0	
0.1553	21.9273	-1.05254	0	
0.1560	-11.0229	-2.90701	0	
0.1567	-20.8013	-3.20774	0	
0.1573	-20.1494	-0.751813	0	
0.1580	-18.6678	1.05254	0	
0.1587	-9.18575	0.150363	0	
0.1593	1.77789	-1.05254	0	
0.1600	6.04482	-1.05254	0	
0.1607	6.99302	-1.05254	0	
0.1613	8.17828	-3.50846	0	
0.1620	5.45219	-4.41064	0	
0.1627	-2.78536	-1.65399	0	
0.1633	-5.21514	-0.150363	0	
0.1640	1.77789	-2.60629	0	
0.1647	7.58565	-4.10991	0	
0.1653	7.28934	-3.50846	0	
0.1660	5.7485	-1.65399	0	
0.1667	1.48157	-0.751813	0	
0.1673	-6.45966	-1.65399	0	
0.1680	-13.4527	-2.90701	0	
0.1687	-14.4009	-1.35326	0	
0.1693	-5.51145	0.150363	0	
0.1700	8.53386	-1.05254	0	
0.1707	16.1195	-2.30556	0	
0.1713	18.253	-1.05254	0	
0.1720	20.0901	0.451088	0	
0.1727	17.9567	0.150363	0	
0.1733	14.6379	-1.05254	0	
0.1740	10.9636	-1.05254	0	
0.1747	2.72609	0.150363	0	
0.1753	-3.6743	-0.451088	0	
0.1760	-4.32619	-1.65399	0	
0.1767	-5.51145	-0.751813	0	
0.1773	-4.02988	0.451088	0	
0.1780	7.88197	0.150363	0	
0.1787	21.0383	0.451088	0	
0.1793	27.4387	0.150363	0	
0.1800	30.1648	-1.35326	0	
0.1807	30.1648	-0.451088	0	
0.1813	27.4387	2.90701	0	
0.1820	19.7938	2.90701	0	
0.1827	3.02241	-0.150363	0	
0.1833	-14.6972	-2.30556	0	
0.1840	-24.4756	-3.20774	0	
0.1847	-33.3058	-2.90701	0	
0.1853	-41.247	0.150363	0	
0.1860	-37.2764	2.00484	0	
0.1867	-21.9865	2.00484	0	
0.1873	-9.77838	1.70411	0	
0.1880	-5.80776	1.05254	0	
0.1887	-5.21514	0.451088	0	
0.1893	-3.6743	2.00484	0	
0.1900	-2.78536	2.90701	0	
0.1907	-4.91882	2.00484	0	
0.1913	-7.3486	2.00484	0	
0.1920	-5.80776	2.60629	0	
0.1927	-4.62251	2.00484	0	
0.1933	-4.62251	2.00484	0	
0.1940	-0.948206	2.00484	0	
0.1947	0.888944	0.751813	0	
0.1953	-0.948206	-0.751813	0	
0.1960	-0.651892	-0.751813	0	
0.1967	0.592629	-0.451088	0	
0.1973	-0.948206	-0.150363	0	
0.1980	-0.651892	-1.05254	0	
0.1987	0.888944	-1.35326	0	
0.1993	1.18526	-0.150363	0	
0.2000	5.15587	0.150363	0	
0.2007	13.6897	-0.751813	0	
0.2013	22.2236	-0.751813	0	
0.2020	24.3571	0.150363	0	
0.2027	13.0971	0.150363	0	
0.2033	-2.78536	-2.30556	0	
0.2040	-14.0453	-3.50846	0	
0.2047	-25.6608	-1.65399	0	
0.2053	-34.1947	-0.751813	0	
0.2060	-23.5274	-1.35326	0	
0.2067	-0.948206	0.751813	0	
0.2073	13.6897	2.00484	0	
0.2080	17.364	-0.751813	0	
0.2087	16.4751	-1.65399	0	
0.2093	13.6897	1.05254	0	
0.2100	-1.24452	1.05254	0	
0.2107	-29.3351	-2.60629	0	
0.2113	-43.9731	-3.50846	0	
0.2120	-30.876	-1.95471	0	
0.2127	-8.29681	-1.65399	0	
