0.0000	4.24508	20.517	1
0.0007	5.46396	58.9863	0	
0.0013	4.24508	64.4501	0	
0.0020	3.90884	50.7349	0	
0.0027	3.32041	32.7268	0	
0.0033	1.76528	19.2904	0	
0.0040	2.10152	16.8373	0	
0.0047	3.32041	25.3675	0	
0.0053	2.10152	36.4065	0	
0.0060	-0.0420305	37.5773	0	
0.0067	-0.336244	29.3817	0	
0.0073	-0.0420305	25.0887	0	
0.0080	-1.89137	26.3153	0	
0.0087	-2.77401	29.3817	0	
0.0093	-0.966701	35.4587	0	
0.0100	-0.672488	38.1906	0	
0.0107	-2.4798	33.6189	0	
0.0113	-2.4798	32.1135	0	
0.0120	-0.672488	30.2737	0	
0.0127	-1.26091	18.0639	0	
0.0133	-0.672488	7.4151	0	
0.0140	0.546396	6.80183	0	
0.0147	-1.26091	3.40091	0	
0.0153	-2.4798	-7.24785	0	
0.0160	0.88264	-14.886	0	
0.0167	2.68995	-17.3391	0	
0.0173	0.546396	-21.5763	0	
0.0180	1.17685	-28.6011	0	
0.0187	3.90884	-32.6153	0	
0.0193	4.53929	-30.441	0	
0.0200	3.90884	-26.2038	0	
0.0207	3.61462	-22.1896	0	
0.0213	3.90884	-17.9524	0	
0.0220	4.83351	-15.4992	0	
0.0227	2.39574	-16.7258	0	
0.0233	-0.966701	-18.2311	0	
0.0240	-0.336244	-19.1789	0	
0.0247	0.546396	-17.9524	0	
0.0253	-0.966701	-15.778	0	
0.0260	-0.966701	-15.2205	0	
0.0267	-1.26091	-16.3913	0	
0.0273	-2.4798	-16.1125	0	
0.0280	-0.336244	-13.3806	0	
0.0287	1.17685	-10.593	0	
0.0293	-2.4798	-9.4222	0	
0.0300	-5.25381	-7.86113	0	
0.0307	-3.40447	-5.12925	0	
0.0313	-3.40447	-4.18145	0	
0.0320	-4.32914	-6.02129	0	
0.0327	-3.40447	-5.12925	0	
0.0333	-4.62335	-0.557527	0	
0.0340	-5.25381	0.0557527	0	
0.0347	-2.4798	-1.44957	0	
0.0353	-0.0420305	-1.17081	0	
0.0360	0.546396	-3.28941	0	
0.0367	2.68995	-8.19564	0	
0.0373	2.68995	-12.4328	0	
0.0380	1.17685	-18.5656	0	
0.0387	3.90884	-25.8692	0	
0.0393	5.12772	-32.6153	0	
0.0400	1.17685	-37.8003	0	
0.0407	-0.0420305	-26.2038	0	
0.0413	3.0262	12.2656	0	
0.0420	2.39574	50.1216	0	
0.0427	1.17685	55.3066	0	
0.0433	3.0262	37.9118	0	
0.0440	3.32041	24.8099	0	
0.0447	2.10152	18.6771	0	
0.0453	3.32041	14.1054	0	
0.0460	3.32041	14.9975	0	
0.0467	0.88264	17.7851	0	
0.0473	-0.0420305	15.6107	0	
0.0480	-0.336244	16.8373	0	
0.0487	-2.77401	22.6356	0	
0.0493	-4.32914	24.1967	0	
0.0500	-2.4798	24.8099	0	
0.0507	0.252183	22.0223	0	
0.0513	0.546396	-1.17081	0	
0.0520	0.88264	-30.7755	0	
0.0527	2.10152	-35.3472	0	
0.0533	2.10152	-21.0188	0	
0.0540	0.252183	-11.2063	0	
0.0547	0.252183	-6.02129	0	
0.0553	0.252183	-1.44957	0	
0.0560	-0.336244	-1.44957	0	
0.0567	-0.336244	-4.51597	0	
0.0573	-0.672488	-5.12925	0	
0.0580	-0.672488	-4.79473	0	
0.0587	2.39574	-8.80892	0	
0.0593	5.75818	-14.2727	0	
0.0600	4.53929	-17.0046	0	
0.0607	2.10152	-21.5763	0	
0.0613	1.76528	-28.9356	0	
0.0620	0.252183	-34.3994	0	
0.0627	-2.4798	-38.9711	0	
0.0633	-1.89137	-43.2641	0	
0.0640	-0.672488	-45.1039	0	
0.0647	-0.336244	-49.6756	0	
0.0653	-0.0420305	-41.4242	0	
0.0660	-1.55513	3.40091	0	
0.0667	-5.25381	55.5854	0	
0.0673	-6.13645	68.4085	0	
0.0680	-3.69868	51.3482	0	
0.0687	-3.9929	32.1135	0	
0.0693	-5.84224	18.6771	0	
0.0700	-5.54803	14.9975	0	
0.0707	-5.54803	15.6107	0	
0.0713	-4.32914	9.53371	0	
0.0720	-0.966701	4.62747	0	
0.0727	-1.55513	6.80183	0	
0.0733	-5.25381	11.039	0	
0.0740	-3.69868	16.8373	0	
0.0747	-2.4798	21.1303	0	
0.0753	-4.32914	15.9453	0	
0.0760	-4.62335	10.4257	0	
0.0767	-2.18559	9.53371	0	
0.0773	-0.672488	6.80183	0	
0.0780	-0.672488	2.17435	0	
0.0787	-0.336244	-0.557527	0	
0.0793	1.76528	-0.223011	0	
0.0800	3.32041	3.73543	0	
0.0807	1.47107	5.24075	0	
0.0813	-0.336244	-2.06285	0	
