0.0000	1.34849	-33.5931	1
0.0007	0.449498	-32.095	0	
0.0013	1.6754	6.97216	0	
0.0020	5.0262	47.5375	0	
0.0027	5.92519	52.1472	0	
0.0033	4.1272	34.4575	0	
0.0040	1.34849	15.212	0	
0.0047	1.34849	-0.345727	0	
0.0053	3.18735	-11.6395	0	
0.0060	1.6754	-22.6451	0	
0.0067	-1.06245	-29.3292	0	
0.0073	-1.6754	-24.7771	0	
0.0080	-1.38936	-18.6693	0	
0.0087	-2.28835	-19.8793	0	
0.0093	-2.61526	-16.8254	0	
0.0100	-2.28835	-2.82344	0	
0.0107	-1.6754	11.5242	0	
0.0113	-1.6754	14.9239	0	
0.0120	-1.38936	12.1581	0	
0.0127	-1.06245	12.1581	0	
0.0133	-1.38936	14.5782	0	
0.0140	-2.61526	16.1339	0	
0.0147	-3.22821	19.1879	0	
0.0153	-2.9013	23.4518	0	
0.0160	-1.38936	22.5299	0	
0.0167	0.449498	14.9239	0	
0.0173	1.6754	6.68406	0	
0.0180	1.96144	1.78626	0	
0.0187	0.449498	-0.345727	0	
0.0193	-0.490361	-1.26767	0	
0.0200	0.12259	-4.32159	0	
0.0207	1.6754	-8.00934	0	
0.0213	3.18735	-5.53163	0	
0.0220	4.1272	3.91824	0	
0.0227	5.0262	9.73798	0	
0.0233	5.92519	7.8941	0	
0.0240	5.0262	2.9963	0	
0.0247	1.34849	-2.1896	0	
0.0253	0.735541	-4.32159	0	
0.0260	1.6754	-2.47771	0	
0.0267	0.12259	-1.26767	0	
0.0273	-1.06245	-2.47771	0	
0.0280	1.06245	-1.55577	0	
0.0287	0.735541	2.9963	0	
0.0293	-1.38936	8.18221	0	
0.0300	-2.28835	10.948	0	
0.0307	-3.22821	9.39225	0	
0.0313	-3.22821	4.84018	0	
0.0320	-2.9013	0.576212	0	
0.0327	-2.9013	-1.9015	0	
0.0333	-2.28835	-2.82344	0	
0.0340	-1.38936	-2.82344	0	
0.0347	-1.6754	-7.37551	0	
0.0353	-1.6754	-18.3812	0	
0.0360	-2.61526	-26.621	0	
0.0367	-4.1272	-21.0894	0	
0.0373	-2.61526	-4.32159	0	
0.0380	-1.06245	10.6599	0	
0.0387	-1.06245	13.6562	0	
0.0393	1.34849	11.2361	0	
0.0400	4.1272	10.948	0	
0.0407	2.28835	10.6599	0	
0.0413	1.34849	6.05022	0	
0.0420	4.1272	2.7082	0	
0.0427	5.0262	4.84018	0	
0.0433	3.8003	5.41639	0	
0.0440	2.57439	2.9963	0	
0.0447	1.6754	1.49815	0	
0.0453	1.34849	-0.97956	0	
0.0460	2.28835	-4.03348	0	
0.0467	1.96144	-1.26767	0	
0.0473	-0.490361	3.91824	0	
0.0480	-1.6754	4.20635	0	
0.0487	-2.28835	4.55207	0	
0.0493	-2.28835	6.97216	0	
0.0500	-1.38936	9.10415	0	
0.0507	-2.28835	14.5782	0	
0.0513	-4.1272	10.0261	0	
0.0520	-3.84116	-16.2492	0	
0.0527	-3.51425	-32.7288	0	
0.0533	-5.35311	-18.0354	0	
0.0540	-5.06706	-4.03348	0	
0.0547	-3.22821	-3.68776	0	
0.0553	-1.38936	3.91824	0	
0.0560	1.96144	16.7101	0	
0.0567	4.1272	15.8458	0	
0.0573	1.6754	3.91824	0	
0.0580	-0.490361	-4.60969	0	
0.0587	-1.38936	-0.633833	0	
0.0593	-1.38936	9.39225	0	
0.0600	2.28835	9.73798	0	
0.0607	4.1272	3.63013	0	
0.0613	2.28835	4.20635	0	
0.0620	1.34849	4.20635	0	
0.0627	3.8003	-1.26767	0	
0.0633	6.2521	-2.1896	0	
0.0640	6.2521	-2.1896	0	
0.0647	3.51425	-6.16547	0	
0.0653	1.06245	-9.50749	0	
0.0660	0.449498	-19.3031	0	
0.0667	0.12259	-37.2809	0	
0.0673	0.449498	-50.9947	0	
0.0680	-0.490361	-65.3424	0	
0.0687	-3.51425	-77.8462	0	
0.0693	-3.22821	-57.1026	0	
0.0700	0.449498	-3.11154	0	
0.0707	0.12259	40.8534	0	
0.0713	-2.00231	48.4594	0	
0.0720	-0.490361	31.6916	0	
0.0727	1.34849	13.3681	0	
0.0733	0.735541	2.42009	0	
0.0740	-1.38936	-6.74168	0	
0.0747	-2.61526	-6.45357	0	
0.0753	-1.6754	11.5242	0	
0.0760	-1.38936	23.4518	0	
0.0767	-0.490361	17.0559	0	
0.0773	1.34849	10.3142	0	
0.0780	1.06245	9.10415	0	
0.0787	-1.6754	6.05022	0	
0.0793	1.34849	4.20635	0	
0.0800	4.1272	2.9963	0	
0.0807	0.735541	0.864318	0	
0.0813	1.96144	2.42009	0	
0.0820	5.63915	3.91824	0	
0.0827	3.18735	1.78626	0	
0.0833	2.28835	2.7082	0	
0.0840	6.2521	4.20635	0	
0.0847	4.41325	2.07436	0	
0.0853	1.96144	0.864318	0	
0.0860	3.51425	2.42009	0	
0.0867	2.28835	2.42009	0	
0.0873	0.735541	0.864318	0	
0.0880	3.18735	-4.95542	0	
0.0887	2.9013	-12.5614	0	
0.0893	-0.490361	-14.9815	0	
0.0900	-2.9013	-14.4053	0	
0.0907	-5.35311	-15.9034	0	
0.0913	-5.06706	-15.3272	0	
0.0920	-2.28835	-11.3514	0	
0.0927	-4.1272	-6.16547	0	
0.0933	-7.80491	-0.0576212	0	
0.0940	-5.35311	-0.0576212	0	
0.0947	-2.28835	-8.29745	0	
0.0953	-5.63915	-13.1952	0	
0.0960	-10.2159	-12.8495	0	
0.0967	-9.03081	-11.6395	0	
0.0973	-4.74016	-9.7956	0	
0.0980	-3.22821	-11.6395	0	
0.0987	-3.22821	-23.2213	0	
0.0993	-1.6754	-39.701	0	
0.1000	-2.00231	-57.4483	0	
0.1007	-1.6754	-48.8628	0	
0.1013	1.34849	22.5299	0	
0.1020	1.96144	115.012	0	
0.1027	-0.776405	136.389	0	
0.1033	0.449498	88.7366	0	
0.1040	3.18735	46.9613	0	
0.1047	2.9013	31.6916	0	
0.1053	4.1272	25.2957	0	
0.1060	4.69929	24.6619	0	
0.1067	1.6754	23.4518	0	
0.1073	0.12259	16.7101	0	
0.1080	0.449498	13.3681	0	
0.1087	-1.38936	13.08	0	
0.1093	-2.28835	10.948	0	
0.1100	-1.38936	11.2361	0	
0.1107	-1.06245	11.5242	0	
0.1113	-2.9013	7.8941	0	
0.1120	-4.74016	5.12828	0	
0.1127	-5.06706	4.20635	0	
0.1133	-4.1272	-1.9015	0	
0.1140	-3.22821	-8.58556	0	
0.1147	-2.61526	-8.58556	0	
0.1153	-2.61526	-7.0874	0	
0.1160	-2.61526	-8.87366	0	
0.1167	-1.38936	-9.7956	0	
0.1173	-0.490361	-7.66362	0	
0.1180	-0.490361	-7.66362	0	
0.1187	1.34849	-9.50749	0	
0.1193	3.18735	-7.37551	0	
0.1200	1.34849	-0.97956	0	
0.1207	-0.163454	5.12828	0	
0.1213	1.6754	9.10415	0	
0.1220	2.9013	11.5242	0	
0.1227	3.18735	12.4462	0	
0.1233	3.8003	12.4462	0	
0.1240	3.18735	11.87	0	
0.1247	2.57439	11.5242	0	
0.1253	3.51425	10.948	0	
0.1260	2.28835	9.10415	0	
0.1267	0.449498	2.42009	0	
0.1273	1.34849	-4.95542	0	
0.1280	1.06245	-4.03348	0	
0.1287	0.12259	-7.66362	0	
0.1293	-0.490361	-29.963	0	
0.1300	-1.06245	-52.5505	0	
0.1307	-0.490361	-51.3405	0	
0.1313	1.06245	-36.9928	0	
0.1320	-1.38936	-29.0411	0	
0.1327	-4.1272	-26.621	0	
0.1333	-2.28835	-24.1433	0	
0.1340	-0.776405	-24.1433	0	
0.1347	-2.61526	-25.699	0	
0.1353	-2.28835	-23.2213	0	
0.1360	0.449498	-18.6693	0	
0.1367	1.6754	-16.8254	0	
0.1373	-0.490361	-14.9815	0	
0.1380	-2.28835	-14.0596	0	
0.1387	1.34849	-20.5131	0	
0.1393	5.92519	-31.1731	0	
0.1400	3.8003	-37.569	0	
0.1407	3.18735	-43.1006	0	
0.1413	6.86505	-37.2809	0	
0.1420	6.86505	0.864318	0	
0.1427	4.41325	51.8591	0	
0.1433	4.41325	71.9689	0	
0.1440	4.1272	57.045	0	
0.1447	2.28835	34.1117	0	
0.1453	1.96144	14.2901	0	
0.1460	0.449498	-1.26767	0	
0.1467	-0.490361	-7.37551	0	
0.1473	1.34849	-6.74168	0	
0.1480	2.57439	-7.66362	0	
0.1487	-0.490361	-8.87366	0	
0.1493	-3.51425	-4.95542	0	
0.1500	-4.1272	2.9963	0	
0.1507	-2.9013	6.68406	0	
0.1513	-3.51425	5.12828	0	
0.1520	-5.06706	6.05022	0	
0.1527	-5.35311	8.81604	0	
0.1533	-5.63915	7.26027	0	
0.1540	-5.06706	4.84018	0	
0.1547	-4.45411	7.606	0	
0.1553	-4.45411	10.6599	0	
0.1560	-3.51425	10.6599	0	
0.1567	-1.38936	9.73798	0	
0.1573	-1.38936	4.20635	0	
0.1580	-2.28835	-6.74168	0	
0.1587	-1.06245	-18.6693	0	
0.1593	-0.776405	-29.3292	0	
0.1600	-0.490361	-37.2809	0	
0.1607	2.28835	-47.6527	0	
0.1613	3.51425	-64.1324	0	
0.1620	3.18735	-71.7384	0	
0.1627	2.9013	-74.2161	0	
0.1633	1.34849	-93.7497	0	
0.1640	0.449498	-109.307	0	
0.1647	2.9013	-84.2998	0	
0.1653	3.18735	-36.359	0	
0.1660	0.12259	12.4462	0	
0.1667	-0.163454	74.1008	0	
0.1673	1.96144	131.492	0	
0.1680	0.449498	152.869	0	
0.1687	-2.00231	145.205	0	
0.1693	-2.28835	123.54	0	
0.1700	-1.6754	85.6827	0	
0.1707	-2.28835	39.2976	0	
0.1713	-3.22821	13.3681	0	
0.1720	-5.06706	22.5299	0	
0.1727	-6.2521	35.3794	0	
0.1733	-3.84116	25.2957	0	
0.1740	0.12259	13.6562	0	
0.1747	0.12259	13.3681	0	
0.1753	-2.00231	6.68406	0	
0.1760	-1.6754	-2.47771	0	
0.1767	0.12259	-3.39965	0	
0.1773	-0.163454	-12.2733	0	
0.1780	-2.00231	-33.5931	0	
0.1787	-1.6754	-48.8628	0	
0.1793	-0.490361	-47.6527	0	
0.1800	-0.163454	-30.2511	0	
0.1807	0.12259	-14.4053	0	
0.1813	0.449498	-15.9034	0	
0.1820	0.735541	-7.66362	0	
0.1827	3.18735	37.1657	0	
0.1833	5.63915	89.3704	0	
0.1840	2.57439	109.192	0	
0.1847	0.12259	96.6883	0	
0.1853	1.96144	78.3648	0	
0.1860	1.96144	69.8369	0	
0.1867	-0.490361	53.991	0	
0.1873	0.12259	23.4518	0	
0.1880	0.449498	7.606	0	
0.1887	-1.38936	8.81604	0	
0.1893	-1.38936	-4.32159	0	
0.1900	0.12259	-26.2753	0	
0.1907	-1.38936	-41.2568	0	
0.1913	-3.22821	-58.6584	0	
0.1920	-2.00231	-79.1139	0	
0.1927	-0.490361	-98.3017	0	
0.1933	-2.28835	-117.259	0	
0.1940	-5.06706	-108.674	0	
0.1947	-4.1272	-62.6342	0	
0.1953	-2.28835	-22.2994	0	
0.1960	-1.38936	-13.1952	0	
0.1967	1.34849	-15.9034	0	
0.1973	2.57439	-12.2733	0	
0.1980	0.735541	-6.45357	0	
0.1987	1.6754	-11.3514	0	
0.1993	4.69929	-26.2753	0	
0.2000	1.96144	-30.2511	0	
0.2007	0.449498	-23.5671	0	
0.2013	5.0262	-25.3533	0	
0.2020	4.41325	-32.3831	0	
0.2027	-0.163454	-40.0467	0	
0.2033	1.34849	-47.0189	0	
0.2040	5.0262	-18.6693	0	
0.2047	3.51425	46.3274	0	
0.2053	1.34849	74.1008	0	
0.2060	1.6754	37.1657	0	
0.2067	1.06245	-9.50749	0	
0.2073	-1.38936	-42.1787	0	
0.2080	-2.61526	-73.5822	0	
0.2087	-2.9013	-83.0321	0	
0.2093	-3.22821	-54.9706	0	
0.2100	-4.1272	-21.4351	0	
0.2107	-4.1272	-8.00934	0	
0.2113	-3.51425	4.20635	0	
0.2120	-3.51425	27.1396	0	
0.2127	-3.22821	41.1415	0	
0.2133	-1.6754	38.3757	0	
0.2140	-2.00231	44.1954	0	
0.2147	-2.28835	67.4168	0	
0.2153	-1.38936	79.5748	0	
0.2160	-0.163454	65.2848	0	
0.2167	1.6754	43.2735	0	
0.2173	1.96144	30.7697	0	
0.2180	1.6754	23.4518	0	
0.2187	3.18735	16.422	0	
0.2193	3.51425	12.4462	0	
0.2200	1.34849	11.5242	0	
0.2207	2.28835	12.7919	0	
0.2213	5.31224	19.7641	0	
0.2220	3.8003	27.4277	0	
0.2227	0.12259	28.0039	0	
0.2233	1.96144	27.7158	0	
0.2240	5.31224	32.3255	0	
0.2247	3.8003	39.9315	0	
0.2253	0.12259	52.4353	0	
0.2260	0.449498	52.7234	0	
0.2267	1.6754	16.1339	0	
0.2273	1.06245	-34.5151	0	
0.2280	0.449498	-53.1267	0	
0.2287	0.449498	-39.4129	0	
0.2293	-0.163454	-25.0652	0	
0.2300	-2.00231	-25.0652	0	
0.2307	-3.84116	-35.1489	0	
0.2313	-5.06706	-40.6229	0	
0.2320	-5.35311	-33.9389	0	
0.2327	-5.06706	-29.6749	0	
0.2333	-5.06706	-36.9928	0	
0.2340	-4.1272	-48.2865	0	
0.2347	-3.51425	-57.1026	0	
0.2353	-4.1272	-53.4725	0	
0.2360	-5.06706	-39.1248	0	
0.2367	-3.84116	-33.9389	0	
0.2373	-0.490361	-25.9872	0	
0.2380	3.18735	14.5782	0	
0.2387	2.9013	63.0952	0	
0.2393	2.9013	71.9689	0	
0.2400	5.0262	50.9371	0	
0.2407	3.18735	39.9315	0	
0.2413	-0.490361	46.0393	0	
0.2420	0.449498	49.6695	0	
0.2427	2.57439	39.0095	0	
0.2433	0.449498	22.818	0	
0.2440	-1.06245	14.2901	0	
0.2447	1.34849	10.6599	0	
0.2453	2.57439	6.05022	0	
0.2460	1.06245	2.07436	0	
0.2467	-1.06245	-0.345727	0	
0.2473	-1.38936	-2.1896	0	
0.2480	-0.776405	-2.1896	0	
0.2487	-0.490361	-2.1896	0	
0.2493	-0.490361	-2.47771	0	
0.2500	0.12259	-5.24353	0	
0.2507	0.449498	-8.87366	0	
0.2513	-1.06245	-9.7956	0	
0.2520	-2.61526	-9.50749	0	
0.2527	-2.61526	-10.4294	0	
0.2533	-1.38936	-8.58556	0	
0.2540	-1.38936	-4.95542	0	
0.2547	-2.28835	-4.03348	0	
0.2553	-2.00231	-3.39965	0	
0.2560	-1.38936	-2.1896	0	
0.2567	-1.06245	-3.68776	0	
0.2573	1.06245	-1.26767	0	
0.2580	4.1272	3.28441	0	
0.2587	5.63915	-4.03348	0	
0.2593	4.41325	-12.2733	0	
0.2600	3.51425	-3.39965	0	
0.2607	4.41325	10.948	0	
0.2613	4.69929	11.5242	0	
0.2620	3.18735	4.84018	0	
0.2627	2.28835	-0.633833	0	
0.2633	2.57439	-7.66362	0	
0.2640	1.34849	-11.6395	0	
0.2647	1.34849	-10.1413	0	
0.2653	2.57439	-10.4294	0	
0.2660	2.28835	-14.6934	0	
0.2667	1.96144	-13.1952	0	
0.2673	2.28835	-9.21939	0	
0.2680	1.06245	-3.39965	0	
0.2687	-0.163454	6.33833	0	
0.2693	0.449498	10.0261	0	
0.2700	-1.38936	1.78626	0	
0.2707	-2.00231	1.78626	0	
0.2713	-0.490361	15.8458	0	
0.2720	-2.61526	24.6619	0	
0.2727	-5.06706	22.5299	0	
0.2733	-3.22821	14.9239	0	
0.2740	-2.9013	-0.97956	0	
0.2747	-2.9013	-16.8254	0	
0.2753	0.12259	-25.699	0	
0.2760	0.735541	-31.4612	0	
0.2767	-0.490361	-35.437	0	
0.2773	0.449498	-38.7791	0	
0.2780	1.06245	-43.6769	0	
0.2787	0.449498	-42.4668	0	
0.2793	0.735541	-42.1787	0	
0.2800	0.12259	-39.701	0	
0.2807	0.12259	4.55207	0	
0.2813	3.18735	78.3648	0	
0.2820	3.8003	109.48	0	
0.2827	3.51425	84.1845	0	
0.2833	4.1272	48.1713	0	
0.2840	2.28835	17.0559	0	
0.2847	1.06245	-9.50749	0	
0.2853	2.57439	-29.0411	0	
0.2860	0.735541	-43.3887	0	
0.2867	-2.61526	-36.359	0	
0.2873	-1.6754	-13.1952	0	
0.2880	0.449498	-19.3031	0	
0.2887	0.12259	-55.2587	0	
0.2893	-0.490361	-74.7923	0	
0.2900	-1.06245	-76.9819	0	
0.2907	-2.61526	-81.534	0	
0.2913	-4.1272	-64.4205	0	
0.2920	-5.06706	-18.9574	0	
0.2927	-3.84116	12.4462	0	
0.2933	-3.84116	21.896	0	
0.2940	-4.45411	44.1954	0	
0.2947	-0.776405	71.9689	0	
0.2953	2.28835	68.9149	0	
0.2960	0.449498	44.1954	0	
0.2967	-1.38936	28.0039	0	
0.2973	-0.490361	19.7641	0	
0.2980	0.735541	16.7101	0	
0.2987	2.28835	20.1098	0	
0.2993	1.96144	18.8997	0	
0.3000	-0.490361	11.87	0	
0.3007	0.735541	10.3142	0	
0.3013	3.18735	8.18221	0	
0.3020	1.6754	0.230485	0	
0.3027	1.34849	-1.9015	0	
0.3033	3.18735	0.230485	0	
0.3040	3.18735	-5.24353	0	
0.3047	0.735541	-12.2733	0	
0.3053	-1.06245	-15.6153	0	
0.3060	-1.06245	-24.489	0	
0.3067	0.735541	-38.4909	0	
0.3073	1.06245	-49.7847	0	
0.3080	-1.38936	-57.4483	0	
0.3087	-2.9013	-47.3646	0	
0.3093	-2.9013	-0.345727	0	
0.3100	-2.00231	58.255	0	
0.3107	-2.00231	75.9447	0	
0.3113	-2.9013	47.5375	0	
0.3120	-0.490361	17.0559	0	
0.3127	3.18735	9.10415	0	
0.3133	0.449498	12.1581	0	
0.3140	-4.1272	12.7919	0	
0.3147	-3.22821	12.7919	0	
0.3153	-3.22821	17.9778	0	
0.3160	-4.45411	29.5597	0	
0.3167	-2.28835	38.3757	0	
0.3173	-0.490361	34.4575	0	
0.3180	-1.06245	22.5299	0	
0.3187	0.735541	13.6562	0	
