0.0000	-1.30469	39.7687	1
0.0007	0.815433	31.5502	0	
0.0013	5.38186	33.9772	0	
0.0020	5.70803	42.5266	0	
0.0027	5.99343	51.6828	0	
0.0033	7.82815	56.2609	0	
0.0040	5.70803	50.4693	0	
0.0047	1.42701	40.0997	0	
0.0053	1.14161	37.3418	0	
0.0060	2.97633	38.8862	0	
0.0067	1.42701	36.1283	0	
0.0073	-0.407716	29.73	0	
0.0080	0.203858	22.0631	0	
0.0087	1.14161	13.2379	0	
0.0093	-0.693118	8.65977	0	
0.0100	-1.91627	7.72208	0	
0.0107	-1.63087	4.68841	0	
0.0113	-2.85401	-0.49642	0	
0.0120	-2.85401	-2.31663	0	
0.0127	0.530031	-3.86104	0	
0.0133	1.75318	-10.8661	0	
0.0140	-0.0815433	-18.2021	0	
0.0147	-0.0815433	-18.8088	0	
0.0153	1.14161	-17.3195	0	
0.0160	2.03858	-17.5953	0	
0.0167	1.14161	-16.6576	0	
0.0173	-0.0815433	-16.0509	0	
0.0180	0.203858	-15.4442	0	
0.0187	2.03858	-13.9549	0	
0.0193	2.97633	-11.4728	0	
0.0200	2.03858	-6.61893	0	
0.0207	1.14161	-0.49642	0	
0.0213	2.03858	-2.92336	0	
0.0220	4.15871	-12.4105	0	
0.0227	5.09645	-17.5953	0	
0.0233	3.8733	-15.1684	0	
0.0240	0.815433	-11.4728	0	
0.0247	-1.30469	-11.197	0	
0.0253	0.203858	-12.4105	0	
0.0260	1.42701	-8.77008	0	
0.0267	-1.63087	-1.70989	0	
0.0273	-2.52784	2.26147	0	
0.0280	0.203858	-0.220631	0	
0.0287	2.03858	-22.7801	0	
0.0293	1.14161	-65.1965	0	
0.0300	-0.0815433	-89.6313	0	
0.0307	-2.24244	-84.4465	0	
0.0313	-2.85401	-84.4465	0	
0.0320	-1.91627	-94.8162	0	
0.0327	-0.693118	-95.4229	0	
0.0333	-0.407716	-92.665	0	
0.0340	-1.01929	-89.9071	0	
0.0347	-2.24244	-64.5897	0	
0.0353	-1.63087	-22.5044	0	
0.0360	-0.693118	2.26147	0	
0.0367	-1.63087	3.75073	0	
0.0373	-1.63087	1.65473	0	
0.0380	0.203858	17.816	0	
0.0387	2.03858	56.2609	0	
0.0393	2.97633	90.1278	0	
0.0400	2.03858	92.8856	0	
0.0407	-0.693118	76.3935	0	
0.0413	0.203858	66.0238	0	
0.0420	3.54713	62.0525	0	
0.0427	3.54713	53.503	0	
0.0433	0.815433	42.5266	0	
0.0440	-0.693118	38.5553	0	
0.0447	-0.693118	40.3755	0	
0.0453	-1.01929	36.7351	0	
0.0460	-1.63087	24.821	0	
0.0467	-2.52784	15.0581	0	
0.0473	-5.30031	12.6311	0	
0.0480	-6.19729	12.0244	0	
0.0487	-4.36256	7.4463	0	
0.0493	-3.13942	-1.4341	0	
0.0500	-4.36256	-13.3482	0	
0.0507	-4.36256	-21.8425	0	
0.0513	-2.52784	-23.3869	0	
0.0520	-2.85401	-26.4206	0	
0.0527	-4.36256	-34.3633	0	
0.0533	-2.52784	-38.6656	0	
0.0540	-0.407716	-39.2723	0	
0.0547	-3.13942	-38.0588	0	
0.0553	-5.58571	-14.2307	0	
0.0560	-3.13942	37.9485	0	
0.0567	0.815433	79.7581	0	
0.0573	1.75318	84.9429	0	
0.0580	1.14161	75.7867	0	
0.0587	2.03858	69.9952	0	
0.0593	3.26173	57.1434	0	
0.0600	2.97633	37.9485	0	
0.0607	2.03858	25.7587	0	
0.0613	2.97633	20.5738	0	
0.0620	2.03858	15.9957	0	
0.0627	0.203858	15.9957	0	
0.0633	2.03858	16.8783	0	
0.0640	2.97633	8.65977	0	
0.0647	-1.63087	0.386104	0	
0.0653	-3.75099	-3.25431	0	
0.0660	0.203858	-8.77008	0	
0.0667	1.14161	-13.3482	0	
0.0673	-1.91627	-11.8038	0	
0.0680	-2.85401	-11.8038	0	
0.0687	-4.36256	-13.9549	0	
0.0693	-5.30031	-15.1684	0	
0.0700	-1.01929	-17.9263	0	
0.0707	2.36475	-18.8088	0	
0.0713	-0.407716	-16.9886	0	
0.0720	-3.75099	-17.9263	0	
0.0727	-3.46559	-17.3195	0	
0.0733	-1.63087	-12.4105	0	
0.0740	-1.63087	-7.8324	0	
0.0747	-3.46559	-6.01219	0	
0.0753	-5.58571	-8.77008	0	
0.0760	-3.75099	-12.4105	0	
0.0767	0.815433	-10.5903	0	
0.0773	2.03858	-11.197	0	
0.0780	-0.407716	-21.5667	0	
0.0787	-0.0815433	-25.8138	0	
0.0793	3.26173	-23.7178	0	
0.0800	4.48488	-28.9027	0	
0.0807	2.97633	-33.1498	0	
0.0813	3.26173	-35.301	0	
0.0820	4.48488	-47.215	0	
0.0827	4.77028	-56.3712	0	
0.0833	3.8733	-55.4335	0	
0.0840	0.815433	-56.0403	0	
0.0847	-1.63087	-34.0875	0	
0.0853	-0.0815433	27.8547	0	
0.0860	2.65016	70.8777	0	
0.0867	2.03858	49.5317	0	
0.0873	1.75318	7.72208	0	
0.0880	2.97633	-7.22566	0	
