0.0000	-0.569566	-23.3844	1
0.0007	1.87143	-15.813	0	
0.0013	5.53293	-12.1277	0	
0.0020	7.37724	-6.90142	0	
0.0027	5.53293	-3.2832	0	
0.0033	2.79359	-4.82429	0	
0.0040	3.71574	-7.83947	0	
0.0047	6.15674	-8.44251	0	
0.0053	5.23459	-8.77753	0	
0.0060	2.49524	-9.64858	0	
0.0067	1.27474	-7.83947	0	
0.0073	0.949277	-2.94818	0	
0.0080	0.352589	-2.34514	0	
0.0087	-1.16625	-10.5866	0	
0.0093	-3.93272	-18.2251	0	
0.0100	-3.30891	-16.081	0	
0.0107	-0.271222	-9.64858	0	
0.0113	0.352589	-7.57146	0	
0.0120	-3.93272	-6.90142	0	
0.0127	-8.51637	-6.03036	0	
0.0133	-8.51637	-5.69534	0	
0.0140	-6.67206	-3.55121	0	
0.0147	-6.67206	-3.88623	0	
0.0153	-4.82775	-9.38056	0	
0.0160	-3.01056	-16.081	0	
0.0167	-5.74991	-31.6259	0	
0.0173	-7.59422	-51.7941	0	
0.0180	-3.30891	-45.6968	0	
0.0187	-0.569566	-16.684	0	
0.0193	-1.79007	-0.201012	0	
0.0200	-0.569566	10.7876	0	
0.0207	2.16978	41.2745	0	
0.0213	3.71574	72.6994	0	
0.0220	4.61078	77.3227	0	
0.0227	4.61078	58.0925	0	
0.0233	4.01409	33.971	0	
0.0240	4.93624	21.4413	0	
0.0247	5.23459	19.9002	0	
0.0253	4.01409	15.6789	0	
0.0260	2.79359	10.4526	0	
0.0267	3.71574	13.5348	0	
0.0273	5.83127	16.282	0	
0.0280	5.83127	12.2617	0	
0.0287	2.79359	8.64352	0	
0.0293	0.352589	5.89635	0	
0.0300	-0.569566	2.81417	0	
0.0307	-2.38675	3.75223	0	
0.0313	-3.60725	5.89635	0	
0.0320	-2.71222	3.75223	0	
0.0327	-3.30891	2.21113	0	
0.0333	-4.23106	4.35526	0	
0.0340	-3.30891	3.41721	0	
0.0347	-2.38675	1.34008	0	
0.0353	-3.93272	2.54615	0	
0.0360	-2.08841	3.14919	0	
0.0367	0.650933	3.14919	0	
0.0373	0.352589	4.08725	0	
0.0380	1.27474	2.54615	0	
0.0387	2.16978	-0.536032	0	
0.0393	-0.569566	-1.13907	0	
0.0400	-0.271222	-0.536032	0	
0.0407	3.71574	-2.68016	0	
0.0413	2.79359	-5.09231	0	
0.0420	0.352589	-5.69534	0	
0.0427	2.79359	-3.2832	0	
0.0433	4.93624	-1.7421	0	
0.0440	3.39028	-3.55121	0	
0.0447	3.09193	-6.90142	0	
0.0453	6.45509	-10.5866	0	
0.0460	8.59774	-18.2251	0	
0.0467	6.45509	-26.4666	0	
0.0473	1.57309	-31.3579	0	
